,variable,value
0,1,0.9311847686767578
1,1,1.0179247856140137
2,1,0.99822998046875
3,5,0.9772510528564453
4,5,1.036454200744629
5,5,1.0658540725708008
6,10,1.0989906787872314
7,10,1.1268281936645508
8,10,1.1306350231170654
9,20,1.1217231750488281
10,20,1.1553449630737305
11,20,1.1827869415283203
12,40,1.1262359619140625
13,40,1.1547918319702148
14,40,1.1556859016418457
15,80,1.112997055053711
16,80,1.1654510498046875
17,80,1.1577978134155273
18,100,1.1402270793914795
19,100,1.174649953842163
20,100,1.1490850448608398
