,condition_1,condition_2,score,cell_type,p_value_mean,p_value_adj_mean,statistic_mean,p_value_median,p_value_adj_median,statistic_median,p_value_spread,p_value_adj_spread,statistic_spread
0,Psoriasis,Eczema,local_entropy_1,B-cells,0.4949109469857772,81.66030625265321,13328334.525,0.4686935057920001,77.33442845568001,13326640.0,0.9785455295428886,-0.8380521361100781,-12823935.010377655
0,Psoriasis,Eczema,local_entropy_2,B-cells,0.45727702342591486,75.45070886527597,13308974.99,0.4999463548568167,82.49114855137478,13321463.75,0.97557743218766,-2.1970664693751942,-12844173.005077178
0,Psoriasis,Eczema,local_entropy_3,B-cells,0.483684685732663,79.80797314588939,13311614.38,0.5317806570005446,87.74380840508985,13319063.75,0.94866905608961,-1.6110538886146304,-12816582.535722878
0,Psoriasis,Eczema,local_entropy_4,B-cells,0.5158397349247094,85.11355626257703,13313059.12,0.4883983313957111,80.58572468029233,13319773.0,0.9867146650957428,-0.6842752205478889,-12906256.003096372
0,Psoriasis,Eczema,local_entropy_5,B-cells,0.49394462020539087,81.50086233388953,13316381.725,0.5111114208174615,84.33338443488115,13324636.0,0.9739271112543234,-0.23480186686945959,-12907884.01870259
0,Psoriasis,T-Cell Lymphoma,local_entropy_1,B-cells,0.5487426183733304,90.5425320315995,15875545.96,0.5438328209949793,89.73241546417158,15886659.75,0.9790904503348501,-1.6875760683344654,-15361897.004649388
0,Psoriasis,T-Cell Lymphoma,local_entropy_2,B-cells,0.4834980327740383,79.77717540771633,15859685.945,0.46433721560626584,76.61564057503386,15863439.25,0.9852575872436033,0.3468076604524455,-15314273.010849426
0,Psoriasis,T-Cell Lymphoma,local_entropy_3,B-cells,0.4939411879081224,81.50029600484021,15869454.015,0.49520898269896785,81.7094821453297,15871488.0,0.9862601985619585,-0.14402419019542767,-15372423.006847823
0,Psoriasis,T-Cell Lymphoma,local_entropy_4,B-cells,0.47725587502853506,78.7472193797083,15868599.52,0.46353824624794765,76.48381063091136,15850576.0,0.968623908233012,-0.2468543471507859,-15386984.02396464
0,Psoriasis,T-Cell Lymphoma,local_entropy_5,B-cells,0.517735410941753,85.42634280538925,15870937.675,0.5612623233608944,92.60828335454761,15874552.75,0.9861325616348778,0.25767880511573527,-15322105.009425648
0,Eczema,T-Cell Lymphoma,local_entropy_1,B-cells,0.5142339925660595,84.8486087733998,10226376.185,0.49004092726420023,80.85675299859304,10213481.75,0.9787224224228886,0.7211504905618621,-9854019.019707017
0,Eczema,T-Cell Lymphoma,local_entropy_2,B-cells,0.45904512466977215,75.74244557051242,10230879.065,0.38761366810949655,63.95625523806693,10237053.25,0.9964424642360379,0.5588865533832537,-9798063.000889512
0,Eczema,T-Cell Lymphoma,local_entropy_3,B-cells,0.47811816919823313,78.88949791770847,10235362.305,0.465746039003698,76.84809643561017,10226434.25,0.9390608339030884,-0.06168272567643229,-9791462.05483707
0,Eczema,T-Cell Lymphoma,local_entropy_4,B-cells,0.4817906441540767,79.49545628542266,10234110.285,0.5024284810329356,82.90069937043435,10222534.0,0.970298112373973,-0.886562495257368,-9830054.518379567
0,Eczema,T-Cell Lymphoma,local_entropy_5,B-cells,0.4755501170766474,78.46576931764682,10232833.69,0.4760376491475087,78.54621210933892,10227535.25,0.9748931173200625,-0.5969814952371147,-9823682.51552228
0,Psoriasis,Eczema,local_homophily_1,B-cells,0.5235399474372996,86.38409132715445,13343474.34,0.5482318446251706,90.45825436315315,13307300.75,0.9855703221179368,-0.5317108854943567,-12747604.505177964
0,Psoriasis,Eczema,local_homophily_2,B-cells,0.49495113524485695,81.66693731540138,13350211.48,0.49106394157501543,81.02555035987756,13358437.0,0.9894362606555753,-0.09131742072784488,-12604242.003973778
0,Psoriasis,Eczema,local_homophily_3,B-cells,0.466710527941257,77.00723711030741,13360067.865,0.43179315898444304,71.2458712324331,13367814.5,0.9721200838667319,-1.6518126066275793,-12650624.011880327
0,Psoriasis,Eczema,local_homophily_4,B-cells,0.48901297010875666,80.68714006794485,13360650.925,0.48182168325019437,79.50057773628208,13357120.0,0.9712732867832432,-1.734210717981123,-12678095.01222986
0,Psoriasis,Eczema,local_homophily_5,B-cells,0.5050715422908736,83.33680447799415,13361180.035,0.49005453372716357,80.85899806498199,13341367.0,0.9836693435957283,-1.5390313024603388,-12653980.000948336
