,condition_1,condition_2,score,cell_type,p_value_mean,p_value_adj_mean,statistic_mean,p_value_median,p_value_adj_median,statistic_median,p_value_spread,p_value_adj_spread,statistic_spread
0,Psoriasis,T-Cell Lymphoma,local_homophily_1,B-cells,0.523374661472063,86.3568191428904,15893663.23,0.4996285181874289,82.43870550092578,15903903.25,0.9902136458227655,-0.5263424057828681,-15382451.00053906
0,Psoriasis,T-Cell Lymphoma,local_homophily_2,B-cells,0.48769383364415597,80.46948255128572,15887563.295,0.46473502629038904,76.68127933791419,15843357.5,0.9728604798509835,-0.9412270631413737,-15422251.515468255
0,Psoriasis,T-Cell Lymphoma,local_homophily_3,B-cells,0.5221139001783438,86.14879352942671,15884984.05,0.5335862531067392,88.04173176261199,15871678.5,0.9638923565739977,-4.548656978203525,-15437436.002494538
0,Psoriasis,T-Cell Lymphoma,local_homophily_4,B-cells,0.4849423377258462,80.01548572476463,15889340.17,0.45631753810684883,75.29239378763005,15876473.0,0.9548697599332518,-3.971390735590088,-15335463.515092066
0,Psoriasis,T-Cell Lymphoma,local_homophily_5,B-cells,0.5281215636056307,87.14005799492902,15889558.905,0.5609580848498178,92.55808400021994,15884184.75,0.9809814159560181,-0.3342920883936531,-15451933.010998623
0,Eczema,T-Cell Lymphoma,local_homophily_1,B-cells,0.5048726602985275,83.30398894925703,10226508.875,0.5288968269414166,87.26797644533374,10234263.25,0.9969703535036325,0.654705912835007,-9743253.500942668
0,Eczema,T-Cell Lymphoma,local_homophily_2,B-cells,0.51350437420479,84.72822174379039,10217311.175,0.53170640109064,87.73155617995559,10230555.5,0.983258380110226,-1.567403849063315,-9759950.501188802
0,Eczema,T-Cell Lymphoma,local_homophily_3,B-cells,0.4692475935512833,77.42585293596176,10208164.695,0.45240088584147575,74.6461461638435,10199671.0,0.9562939901225245,-0.5082389510268146,-9709038.034775931
0,Eczema,T-Cell Lymphoma,local_homophily_4,B-cells,0.48038342325630395,79.26326483729015,10210247.15,0.49409822864557323,81.52620772651959,10186546.75,0.9873587798718048,-0.7885786352983706,-9689483.501812333
0,Eczema,T-Cell Lymphoma,local_homophily_5,B-cells,0.47771046265996636,78.82222633889447,10210458.275,0.47577903565054164,78.50354088233938,10197959.75,0.9949456930401295,0.3505605083286285,-9670845.001125129
0,Psoriasis,Eczema,egophily_1,B-cells,0.49618874400390717,81.87114276064467,13337438.715,0.5009102952391756,82.65019871446398,13356548.0,0.9856904784982555,-0.6794802963996507,-12929311.004156042
0,Psoriasis,Eczema,egophily_2,B-cells,0.5184237492570475,85.53991862741283,13352070.34,0.5438178234953664,89.72994087673545,13319836.0,0.9916537509661828,-0.357418747510713,-12885011.000120196
0,Psoriasis,Eczema,egophily_3,B-cells,0.5015738650474195,82.75968773282422,13331824.535,0.47894046454062433,79.02517664920302,13316189.0,0.9800700396832859,0.7190485318137378,-12868432.018338365
0,Psoriasis,Eczema,egophily_4,B-cells,0.4794679892694603,79.11221822946095,13326323.635,0.45129550288635994,74.46375797624941,13329830.75,0.9794861323345468,-0.36514385294203355,-12892816.512314904
0,Psoriasis,Eczema,egophily_5,B-cells,0.4807065282034733,79.31657715357309,13316585.67,0.4639200864353845,76.54681426183845,13311932.0,0.9752724042491496,-0.6958546853147393,-12811972.514537796
0,Psoriasis,T-Cell Lymphoma,egophily_1,B-cells,0.5362356052372044,88.4788748641387,15890127.71,0.5147690616766019,84.9368951766393,15892720.25,0.9780354970087629,-1.7306217257594079,-15412242.0054483
0,Psoriasis,T-Cell Lymphoma,egophily_2,B-cells,0.5231334291269002,86.31701580593854,15878710.41,0.5627021080782852,92.84584783291706,15891332.75,0.9724672774161256,-2.0889022515694453,-15377818.508865835
0,Psoriasis,T-Cell Lymphoma,egophily_3,B-cells,0.5331108418260636,87.96328890130052,15861786.065,0.5483277637717282,90.47408102233516,15859031.5,0.9776145053515284,-1.792775089987741,-15328193.005492875
0,Psoriasis,T-Cell Lymphoma,egophily_4,B-cells,0.5147513929781248,84.93397984139057,15862078.01,0.523589867699818,86.39232817046997,15848336.25,0.9919254783137633,0.5787885000874017,-15212768.505555393
0,Psoriasis,T-Cell Lymphoma,egophily_5,B-cells,0.5139623838756089,84.80379333947548,15854545.58,0.5329144107936479,87.9308777809519,15841995.0,0.9945216477976836,0.23173169680821737,-15096068.500827193
0,Eczema,T-Cell Lymphoma,egophily_1,B-cells,0.525184104587253,86.65537725689671,10228558.135,0.5043515554938178,83.21800665647994,10255368.5,0.9903162185539256,0.7890917802415263,-9733643.008456804
0,Eczema,T-Cell Lymphoma,egophily_2,B-cells,0.4688968350075349,77.36797777624324,10210007.925,0.5027524241859611,82.95414999068359,10227847.5,0.9956950039178423,0.34382602379265303,-9736442.000330186
0,Eczema,T-Cell Lymphoma,egophily_3,B-cells,0.4784865544744087,78.95028148827745,10214861.45,0.4489131241499149,74.07066548473597,10216481.25,0.99229956834779,0.9322426010776947,-9597505.00733423
0,Eczema,T-Cell Lymphoma,egophily_4,B-cells,0.48801436542056975,80.52237029439404,10219279.215,0.49212367437045457,81.20040627112502,10228335.75,0.9951648543050442,0.7056973954417362,-9651006.503070101
0,Eczema,T-Cell Lymphoma,egophily_5,B-cells,0.46623210913284446,76.92829800691935,10221761.145,0.4143957667860348,68.37530151969574,10244783.0,0.9799201042753989,0.13215914803639706,-9695528.014910622
0,Psoriasis,Eczema,local_entropy_1,Basal keratinocytes,0.4846022050606685,79.9593638350103,2635283.905,0.4913329990741268,81.06994484723094,2633118.75,0.9925520927883512,-0.16986319942402672,-2508860.0003600093
0,Psoriasis,Eczema,local_entropy_2,Basal keratinocytes,0.4907098134022717,80.96711921137484,2631173.405,0.5166677389188402,85.25017692160863,2628070.25,0.9806514900911029,-0.5046298442867475,-2479915.5102919163
0,Psoriasis,Eczema,local_entropy_3,Basal keratinocytes,0.5068636801850392,83.63250723053149,2629654.335,0.511376795950624,84.37717133185296,2633953.0,0.9974289281138539,0.8037179472227722,-2472124.001389907
0,Psoriasis,Eczema,local_entropy_4,Basal keratinocytes,0.5485526732810411,90.51119109137178,2629996.305,0.5688961374810129,93.86786268436711,2629660.75,0.976933119847174,-0.401484353751688,-2487097.0146618956
0,Psoriasis,Eczema,local_entropy_5,Basal keratinocytes,0.5518938649101011,91.06248771016668,2628122.02,0.5609995510397281,92.56492592155512,2630819.5,0.9765818761180404,-1.6457094217548949,-2472208.0074285427
0,Psoriasis,T-Cell Lymphoma,local_entropy_1,Basal keratinocytes,0.5271947216160399,86.98712906664657,3136494.285,0.5379116379363338,88.75542025949508,3135591.5,0.9790719651738062,0.3495973507775353,-2991610.017089775
0,Psoriasis,T-Cell Lymphoma,local_entropy_2,Basal keratinocytes,0.4917750313834473,81.14288017826883,3136031.675,0.4437909910071018,73.22551351617179,3136631.0,0.9719248362939874,-0.1072037503098805,-2997754.5214951113
0,Psoriasis,T-Cell Lymphoma,local_entropy_3,Basal keratinocytes,0.5335996258338571,88.04393826258642,3133807.12,0.558715236018106,92.18801394298748,3129974.5,0.9872215349658152,0.5137156649012109,-2959412.5098912343
0,Psoriasis,T-Cell Lymphoma,local_entropy_4,Basal keratinocytes,0.5016989495048815,82.78032666830542,3132649.795,0.5392795037426148,88.98111811753145,3136770.5,0.9886743997515163,-0.46218840396404715,-2972688.5024788757
0,Psoriasis,T-Cell Lymphoma,local_entropy_5,Basal keratinocytes,0.48902570236188014,80.68924088971023,3131188.085,0.4655133187849435,76.80969759951569,3128918.5,0.984146295889931,-1.4755367054702087,-2970380.5008556372
0,Eczema,T-Cell Lymphoma,local_entropy_1,Basal keratinocytes,0.4898808651067725,80.83034274261746,2019291.095,0.44628681514568236,73.63732449903759,2018089.75,0.9909284734916145,0.20990295788238544,-1867471.5043091758
0,Eczema,T-Cell Lymphoma,local_entropy_2,Basal keratinocytes,0.45073242609263936,74.3708503052855,2022497.995,0.41411317601286646,68.32867404212297,2025109.0,0.987774257205686,-0.4542764179809674,-1872513.503432751
0,Eczema,T-Cell Lymphoma,local_entropy_3,Basal keratinocytes,0.503653942357825,83.10290048904112,2021957.205,0.5412745155367038,89.31029506355614,2026337.75,0.9719962659770698,-2.3068020898895645,-1892006.0080110612
0,Eczema,T-Cell Lymphoma,local_entropy_4,Basal keratinocytes,0.5114108158794025,84.38278462010143,2021074.96,0.528290287095557,87.16789737076691,2027482.75,0.9620213016191628,-1.2660091102443725,-1895838.024393147
0,Eczema,T-Cell Lymphoma,local_entropy_5,Basal keratinocytes,0.518549070579056,85.56059664554425,2021624.195,0.5274906774555632,87.03596178016792,2028549.25,0.9888032969160492,-0.8331189751013043,-1873699.500087421
0,Psoriasis,Eczema,local_homophily_1,Basal keratinocytes,0.4992599777695145,82.37789633196988,2633757.525,0.4763652635909956,78.60026849251429,2629045.5,0.972817872157687,-1.6755645103967964,-2484999.511033455
0,Psoriasis,Eczema,local_homophily_2,Basal keratinocytes,0.5019723074028369,82.82543072146811,2638587.245,0.5438259496392611,89.73128169047808,2641661.0,0.9906859685051719,0.7157776060538732,-2484615.007637761
0,Psoriasis,Eczema,local_homophily_3,Basal keratinocytes,0.4925212143313404,81.26600036467117,2639388.06,0.4637051184891523,76.51134455071013,2634359.25,0.9908431753978105,0.9571218972854576,-2461660.008951207
0,Psoriasis,Eczema,local_homophily_4,Basal keratinocytes,0.5008081166251186,82.63333924314458,2639102.495,0.5191151069057056,85.65399263944144,2639806.5,0.9878618592382542,-0.06866000788045812,-2459228.5056959344
0,Psoriasis,Eczema,local_homophily_5,Basal keratinocytes,0.5658236918171937,93.36090914983697,2639472.055,0.6093280504564946,100.5391283253216,2636242.75,0.991537628700833,-0.1616522459588282,-2474868.0014307257
0,Psoriasis,T-Cell Lymphoma,local_homophily_1,Basal keratinocytes,0.4721194142862926,77.89970335723827,3128653.28,0.4823506676657635,79.58786016485098,3128191.25,0.9977350861491412,0.9799084676999612,-2990016.002156215
0,Psoriasis,T-Cell Lymphoma,local_homophily_2,Basal keratinocytes,0.45936433271589044,75.79511489812192,3129797.395,0.434292054104258,71.65818892720256,3129841.75,0.943708941547577,-2.5285161857187313,-2962787.535118954
0,Psoriasis,T-Cell Lymphoma,local_homophily_3,Basal keratinocytes,0.48485627297685624,80.00128504118128,3130461.945,0.48117367689091467,79.39365668700093,3132106.25,0.9735006064449845,0.23145697372481644,-2952882.5219747373
0,Psoriasis,T-Cell Lymphoma,local_homophily_4,Basal keratinocytes,0.5266373448622219,86.89516190226665,3133242.18,0.5727656141473612,94.5063263343146,3126733.0,0.971168917311773,-3.6517435955685364,-3006325.0006425916
0,Psoriasis,T-Cell Lymphoma,local_homophily_5,Basal keratinocytes,0.5043459439200642,83.21708074681057,3134876.485,0.4893648759583398,80.74520453312607,3140719.25,0.9807386675597036,-1.8545490948788745,-3000237.5019729924
0,Eczema,T-Cell Lymphoma,local_homophily_1,Basal keratinocytes,0.4897458412841336,80.80806381188206,2016038.34,0.5185664425066072,85.5634630135902,2020077.5,0.9700521758974188,0.20568753856778377,-1809505.525287064
0,Eczema,T-Cell Lymphoma,local_homophily_2,Basal keratinocytes,0.5066392324372968,83.59547335215395,2012993.46,0.5028642020986693,82.97259334628043,2012365.0,0.9803748884242368,-0.8864764422221921,-1860832.5082418718
0,Eczema,T-Cell Lymphoma,local_homophily_3,Basal keratinocytes,0.5291817908376513,87.31499548821243,2012762.58,0.5257002526596359,86.74054168883993,2022944.75,0.9893804997936885,-0.20578021437694072,-1881979.0033319348
0,Eczema,T-Cell Lymphoma,local_homophily_4,Basal keratinocytes,0.5186899078722965,85.58383479892899,2014868.0,0.5162967545714254,85.1889645042852,2013499.25,0.9859656456045853,-0.5933881058638426,-1867124.0044041486
0,Eczema,T-Cell Lymphoma,local_homophily_5,Basal keratinocytes,0.5210766343994822,85.97764467591462,2015500.295,0.5235769403215682,86.39019515305876,2018043.75,0.9845194297309169,0.41949114441836277,-1870199.5120352758
0,Psoriasis,Eczema,egophily_1,Basal keratinocytes,0.48042908431972464,79.27079891275457,2628192.385,0.4735062183467298,78.12852602721043,2629254.25,0.9788680993287173,0.1317335174848301,-2409460.5159664457
0,Psoriasis,Eczema,egophily_2,Basal keratinocytes,0.5051604045927361,83.35146675780146,2632469.405,0.4878313935994715,80.49217994391282,2632727.0,0.9774295977418516,-1.5186636947561043,-2419794.5073503214
0,Psoriasis,Eczema,egophily_3,Basal keratinocytes,0.5180009732284865,85.47016058270025,2636002.18,0.48068474156578905,79.31298235835519,2640343.75,0.9838464842432466,-1.047315107580221,-2470185.003768384
0,Psoriasis,Eczema,egophily_4,Basal keratinocytes,0.5561353007610017,91.76232462556528,2635166.99,0.6141506243002466,101.3348530095407,2638500.5,0.993302947841799,0.2967931697121491,-2433712.0024500415
0,Psoriasis,Eczema,egophily_5,Basal keratinocytes,0.5311200103113733,87.63480170137662,2639820.995,0.542210510198252,89.46473418271157,2634569.5,0.9596948263763558,-3.611198746894436,-2467402.512433871
0,Psoriasis,T-Cell Lymphoma,egophily_1,Basal keratinocytes,0.5066821238920022,83.60255044218034,3130338.33,0.4952707657516001,81.71967634901402,3129382.25,0.9626651932709414,-2.1634139635818093,-2977463.5182733485
0,Psoriasis,T-Cell Lymphoma,egophily_2,Basal keratinocytes,0.4951704870190531,81.70313035814377,3131518.085,0.49995099524056674,82.49191421469352,3135139.75,0.9802181018779835,0.3124639744001446,-2958947.5157102267
0,Psoriasis,T-Cell Lymphoma,egophily_3,Basal keratinocytes,0.46347935475846247,76.47409353514632,3130913.235,0.4476463390425425,73.86164594201952,3122624.5,0.9630030373635222,-1.5226483066722796,-2941412.521840552
0,Psoriasis,T-Cell Lymphoma,egophily_4,Basal keratinocytes,0.45884541161326126,75.70949291618811,3134430.675,0.47055398681515626,77.64140782450079,3132160.25,0.9820485347130623,-0.8520925656752271,-2917131.006767678
0,Psoriasis,T-Cell Lymphoma,egophily_5,Basal keratinocytes,0.47427800297910716,78.25587049155268,3135457.445,0.47704193025791836,78.71191849255653,3131367.75,0.9696243878556997,-1.5446277924665368,-2951204.015044806
0,Eczema,T-Cell Lymphoma,egophily_1,Basal keratinocytes,0.4995138173077038,82.4197798557711,2021242.925,0.469051686298247,77.39352823921077,2019727.75,0.9727145816474267,-2.32750754985749,-1866452.5071621127
0,Eczema,T-Cell Lymphoma,egophily_2,Basal keratinocytes,0.5052532714270851,83.36678978546905,2018512.32,0.5112692733887904,84.35943010915042,2019143.75,0.9605038933232539,-3.5076362185054,-1854876.0122513499
0,Eczema,T-Cell Lymphoma,egophily_3,Basal keratinocytes,0.5068139230776094,83.62429730780555,2015385.9,0.5402073205949466,89.13420789816618,2016169.5,0.9603964966709946,0.02738595223286222,-1836339.5339144147
0,Eczema,T-Cell Lymphoma,egophily_4,Basal keratinocytes,0.48140326576456,79.4315388511524,2018571.18,0.45805523134885373,75.57911317256087,2024810.25,0.9748679417688352,-2.6117321961025333,-1849963.0032625452
0,Eczema,T-Cell Lymphoma,egophily_5,Basal keratinocytes,0.4824632507499524,79.60643637374217,2015556.83,0.4499920962420896,74.24869587994479,2022665.25,0.9691203211446364,-0.15283148006232106,-1859928.5240385092
0,Psoriasis,Eczema,local_entropy_1,Endothelial cells,0.5262731610484144,86.8350715729884,55478813.185,0.5318861392775263,87.76121298079184,55431045.0,0.9701586418437543,-2.178664547152755,-54345408.51064122
0,Psoriasis,Eczema,local_entropy_2,Endothelial cells,0.5247388370227096,86.5819081087471,55478448.74,0.5044944887007946,83.24159063563111,55460691.75,0.9880103016118675,0.020239960495994747,-54201573.50608866
0,Psoriasis,Eczema,local_entropy_3,Endothelial cells,0.5119998205513102,84.47997039096617,55446298.135,0.49278365292710535,81.30930273297238,55369729.0,0.9917866349551615,-0.33373220467649745,-54263756.00013094
0,Psoriasis,Eczema,local_entropy_4,Endothelial cells,0.5512457862366223,90.95555472904269,55471393.35,0.5639729353008334,93.0555343246375,55419022.0,0.9773216667074491,-2.6812298307614393,-54288508.00037009
0,Psoriasis,Eczema,local_entropy_5,Endothelial cells,0.5226851176940287,86.24304441951472,55469350.35,0.5260770476115286,86.80271285590223,55416351.75,0.9625511981488444,-4.041622179517805,-54160404.00693555
0,Psoriasis,T-Cell Lymphoma,local_entropy_1,Endothelial cells,0.46823103636980984,77.25812100101864,65730378.51,0.45312184758390406,74.76510485134418,65708364.75,0.996761632760319,0.5873455146912108,-64009329.00074193
0,Psoriasis,T-Cell Lymphoma,local_entropy_2,Endothelial cells,0.47894658659204853,79.026186787688,65699364.955,0.4910501437745587,81.02327372280219,65686996.5,0.9676698310985885,-2.27357617377408,-64202781.51256648
0,Psoriasis,T-Cell Lymphoma,local_entropy_3,Endothelial cells,0.47114736758974374,77.73931565230771,65682512.18,0.4684971737692094,77.30203367191957,65613752.25,0.9752281215706086,-3.0761956348805195,-64283444.500068076
0,Psoriasis,T-Cell Lymphoma,local_entropy_4,Endothelial cells,0.4700112061593151,77.551849016287,65672555.185,0.45583006863326847,75.21196132448931,65634764.0,0.9783364983099333,-1.6748048915993314,-64155280.50548581
0,Psoriasis,T-Cell Lymphoma,local_entropy_5,Endothelial cells,0.4638203899228118,76.53036433726393,65668119.795,0.3941241762329233,65.03048907843235,65634594.75,0.9792258679911614,-1.7492706428542038,-64067767.50413696
0,Eczema,T-Cell Lymphoma,local_entropy_1,Endothelial cells,0.48043498763288306,79.27177295942573,42359238.22,0.4741659997685612,78.2373899618126,42308123.0,0.9845160126022556,0.08010301858875157,-41221435.50996927
0,Eczema,T-Cell Lymphoma,local_entropy_2,Endothelial cells,0.4749975223617399,78.3745911896871,42339948.68,0.4807378559006614,79.32174622360915,42353463.5,0.9897332511546184,0.24730345147201338,-41231584.50573974
0,Eczema,T-Cell Lymphoma,local_entropy_3,Endothelial cells,0.47777223320187995,78.83241847831019,42354232.77,0.4821448091323459,79.55389350683708,42351899.0,0.979426073284749,-0.552751435411228,-41075407.51123138
0,Eczema,T-Cell Lymphoma,local_entropy_4,Endothelial cells,0.4681587080811541,77.24618683339044,42328277.735,0.48930378394703555,80.73512435126088,42321112.75,0.9728460047526714,-2.162392382577007,-41119254.50803669
0,Eczema,T-Cell Lymphoma,local_entropy_5,Endothelial cells,0.4762540075687474,78.58191124884331,42326968.61,0.46669066331969933,77.00395944775039,42309390.0,0.9844019039073023,-0.3003321729192652,-41044737.507764354
0,Psoriasis,Eczema,local_homophily_1,Endothelial cells,0.5024635251027018,82.90648164194577,55489098.19,0.4987061401363323,82.28651312249482,55523084.5,0.9833667031536698,-1.076108292949744,-54059822.00407552
0,Psoriasis,Eczema,local_homophily_2,Endothelial cells,0.5157361317930897,85.0964617458598,55487253.35,0.5104543688374219,84.22497085817461,55523638.0,0.9661454066835289,-1.0399109830003084,-54220623.52162254
0,Psoriasis,Eczema,local_homophily_3,Endothelial cells,0.5159142138276089,85.1258452815555,55500934.72,0.5137623970758682,84.77079551751825,55571746.75,0.9851624806590219,-0.5922329088292974,-54023678.50521926
0,Psoriasis,Eczema,local_homophily_4,Endothelial cells,0.5398835911740982,89.08079254372622,55501437.575,0.5580786315272261,92.0829742019923,55503061.5,0.9620058806860879,-0.47466545968657714,-54127816.529233925
0,Psoriasis,Eczema,local_homophily_5,Endothelial cells,0.5344838612672708,88.18983710909968,55497403.36,0.5292414204372282,87.32483437214265,55478172.75,0.9830219780964431,-0.8631403432544104,-54176993.005720936
0,Psoriasis,T-Cell Lymphoma,local_homophily_1,Endothelial cells,0.4858348899176414,80.16275683641084,65681803.705,0.4444857561370807,73.34014976261831,65712371.5,0.9670506653028069,-0.4674934883323262,-64179643.024202116
0,Psoriasis,T-Cell Lymphoma,local_homophily_2,Endothelial cells,0.4922613329148351,81.2231199309478,65697614.865,0.4852193392432208,80.06119097513144,65716087.5,0.9962348420776957,0.5604379242388041,-64204674.50110786
0,Psoriasis,T-Cell Lymphoma,local_homophily_3,Endothelial cells,0.4503780401266948,74.31237662090464,65724891.995,0.45346708949889836,74.82206976731823,65740999.5,0.973861464343758,0.34884071824509855,-64251900.52232743
0,Psoriasis,T-Cell Lymphoma,local_homophily_4,Endothelial cells,0.4539545087543906,74.90249394447446,65731915.595,0.43629001201313405,71.98785198216711,65816941.5,0.9823241848811464,-0.3937643213721298,-64256942.00928503
0,Psoriasis,T-Cell Lymphoma,local_homophily_5,Endothelial cells,0.4432286006823631,73.13271911258991,65748237.72,0.3778299776462357,62.3419463116289,65825697.25,0.9846751176159206,-0.5966511358005196,-64408966.00568265
0,Eczema,T-Cell Lymphoma,local_homophily_1,Endothelial cells,0.4513390702133847,74.47094658520848,42321248.125,0.4152648458858912,68.51869957117205,42344389.0,0.9775313802825876,-2.2277595194674142,-41284621.00292417
0,Eczema,T-Cell Lymphoma,local_homophily_2,Endothelial cells,0.4416458780812013,72.87156988339821,42332120.58,0.3888021276975776,64.15235107010031,42412069.5,0.9273295334561747,-3.2366408192248963,-41145731.0472804
0,Eczema,T-Cell Lymphoma,local_homophily_3,Endothelial cells,0.4736181646398581,78.14699716557658,42339620.83,0.4410152694171654,72.76751945383229,42376292.25,0.9817680380428431,-1.357017983442767,-41136379.50397107
0,Eczema,T-Cell Lymphoma,local_homophily_4,Endothelial cells,0.48319755877995596,79.72759719869275,42343700.59,0.4342810591713596,71.65637476327436,42358228.25,0.9862224506854742,-0.9463944613345893,-41030202.0019933
0,Eczema,T-Cell Lymphoma,local_homophily_5,Endothelial cells,0.49138584411461833,81.07866427891203,42357302.27,0.4984642343702017,82.24659867108329,42361409.0,0.982128359652966,-0.5609896489594699,-40927895.008462384
0,Psoriasis,Eczema,egophily_1,Endothelial cells,0.4773118604036668,78.75645696660504,55489689.83,0.4799024072552658,79.18389719711885,55514231.75,0.9840316607891839,-0.9721046789681025,-54029569.00404068
0,Psoriasis,Eczema,egophily_2,Endothelial cells,0.5082821972603822,83.86656254796306,55485236.695,0.5147062129587494,84.92652513819365,55498101.75,0.9955036724295038,0.6245552000907639,-54116899.502234444
0,Psoriasis,Eczema,egophily_3,Endothelial cells,0.5266545435650973,86.89799968824106,55521044.925,0.5062478151324038,83.53088949684664,55603015.75,0.9473395867659818,-0.29334334601334644,-54086129.54509527
0,Psoriasis,Eczema,egophily_4,Endothelial cells,0.5384789321896176,88.8490238112869,55515517.57,0.553861481731992,91.38714448577868,55561534.5,0.9881529873847328,-0.02357565065010947,-54106864.00567794
0,Psoriasis,Eczema,egophily_5,Endothelial cells,0.5254630611250468,86.7014050856327,55513622.345,0.5128512230397019,84.62045180155081,55529944.25,0.9821680795301275,-1.6340944132853732,-54128386.0018791
0,Psoriasis,T-Cell Lymphoma,egophily_1,Endothelial cells,0.4700766458703096,77.56264656860108,65671709.93,0.4805467760815685,79.2902180534588,65665638.25,0.9868828284591994,-0.9993430352261707,-64224651.00100604
0,Psoriasis,T-Cell Lymphoma,egophily_2,Endothelial cells,0.438349747514645,72.32770833991643,65704349.37,0.38701680354706003,63.85777258526492,65808045.0,0.9796030096607246,-1.8146785527162077,-64007336.503358684
0,Psoriasis,T-Cell Lymphoma,egophily_3,Endothelial cells,0.4585855960886478,75.66662335462688,65741041.79,0.4223605399844964,69.68948909744192,65748472.5,0.980773657570456,-1.3834941521621118,-64048121.00481007
0,Psoriasis,T-Cell Lymphoma,egophily_4,Endothelial cells,0.4946731657977215,81.62107235662405,65731214.38,0.47446318059836523,78.28642479873025,65741211.25,0.9723106159122997,-1.8268981452579052,-64011795.01062104
