,condition_1,condition_2,score,cell_type,p_value_mean,p_value_adj_mean,statistic_mean,p_value_median,p_value_adj_median,statistic_median,p_value_spread,p_value_adj_spread,statistic_spread
0,Psoriasis,Eczema,local_entropy_1,B-cells,0.004721588211749176,0.7790620549386142,48970116.0,1.6406917393719138e-33,2.7071413699636573e-31,49652561.0,0.385605869892265,0.385605869892265,-29835639.61439413
0,Psoriasis,Eczema,local_entropy_2,B-cells,0.031564791484985394,5.208190595022594,47820659.65,1.519813366372227e-17,2.507692054514175e-15,48264954.75,0.9035392654048364,0.9035392654048364,-29562345.096460734
0,Psoriasis,Eczema,local_entropy_3,B-cells,0.015830509850736238,2.6120341253714794,48568850.49,7.519797998695909e-26,1.2407666697848251e-23,49054849.75,0.7424790890652806,0.7424790890652806,-30237393.25752091
0,Psoriasis,Eczema,local_entropy_4,B-cells,0.008661029041569934,1.4290697918590396,49108805.81,1.3238183094703825e-32,2.1843002106261312e-30,49697484.75,0.5982389785872677,0.5982389785872677,-30407033.40176102
0,Psoriasis,Eczema,local_entropy_5,B-cells,0.005173138024951552,0.8535677741170064,50343090.55,2.441946219613433e-53,4.0292112623621644e-51,51005631.0,0.5157892612338915,0.5157892612338915,-30751438.484210737
0,Psoriasis,T-Cell Lymphoma,local_entropy_1,B-cells,0.18852407577075095,31.106472502173915,68070605.45,0.023241302210314903,3.8348148647019697,66963677.25,0.9980610534792844,0.9980610534792826,-52828956.00193895
0,Psoriasis,T-Cell Lymphoma,local_entropy_2,B-cells,0.014141778584015828,2.3333934663626117,63935844.56,1.7308843254415395e-24,2.85595913697854e-22,63247086.0,0.7621692201338924,0.7621692201338924,-49898744.73783078
0,Psoriasis,T-Cell Lymphoma,local_entropy_3,B-cells,0.005693364579840308,0.939405155673651,62578125.395,6.189996047127709e-39,1.0213493477760717e-36,62308570.0,0.3458162277189294,0.3458162277189294,-47556065.654183775
0,Psoriasis,T-Cell Lymphoma,local_entropy_4,B-cells,0.015808078105087834,2.608332887339493,62319512.315,4.346455516622474e-41,7.171651602427081e-39,62066206.5,0.8159642276445027,0.8159642276445027,-46384428.18403577
0,Psoriasis,T-Cell Lymphoma,local_entropy_5,B-cells,0.007619290519320854,1.2571829356879411,62659086.98,2.5382035980445945e-38,4.188035936773583e-36,62912987.0,0.2394063555234543,0.2394063555234543,-45747693.760593645
0,Eczema,T-Cell Lymphoma,local_entropy_1,B-cells,2.3635654660937073e-05,0.003899883019054695,37010972.71,1.3919546187775686e-44,2.2967251209829883e-42,36615880.0,0.0020416628667187,0.0020416628667187,-25863798.997958336
0,Eczema,T-Cell Lymphoma,local_entropy_2,B-cells,7.171033455217833e-10,1.1832205201109427e-07,35747708.825,1.6431506448604584e-69,2.7111985640197568e-67,35450905.25,7.168239954802548e-08,7.168239954802548e-08,-25144171.49999993
0,Eczema,T-Cell Lymphoma,local_entropy_3,B-cells,5.0429542392568955e-23,8.320874494773876e-21,34130377.635,4.0867706882503725e-105,6.743171635613115e-103,34090904.75,4.877155560793405e-21,4.877155560793405e-21,-24166947.5
0,Eczema,T-Cell Lymphoma,local_entropy_4,B-cells,1.3266194457632312e-26,2.188922085509331e-24,33404879.79,6.59770011149624e-125,1.0886205183968796e-122,33400716.75,1.3266161502739815e-24,1.3266161502739815e-24,-23978340.5
0,Eczema,T-Cell Lymphoma,local_entropy_5,B-cells,2.0625858474255877e-32,3.4032666482522196e-30,32363253.75,3.1496506359806974e-154,5.196923549368151e-152,32391759.0,2.062585845119413e-30,2.062585845119413e-30,-23554263.0
0,Psoriasis,Eczema,local_homophily_1,B-cells,0.000874283452087897,0.14425676959450362,39582172.885,1.4945952834903317e-44,2.466082217759047e-42,39604215.0,0.0791763033347699,0.0791763033347699,-31883150.920823697
0,Psoriasis,Eczema,local_homophily_2,B-cells,0.0008626904623941214,0.1423439262950302,40109813.095,5.158718621842151e-32,8.51188572603955e-30,40011128.25,0.0857468199845603,0.0857468199845603,-30058383.91425318
0,Psoriasis,Eczema,local_homophily_3,B-cells,1.7134147887422663e-10,2.8271344014247388e-08,39174115.885,3.726534985347805e-45,6.14878272582388e-43,39264857.0,1.6957212001602053e-08,1.6957212001602053e-08,-28910480.49999998
