,condition_1,condition_2,score,statistic,p_value,p_value_adj
42,Eczema,T-Cell Lymphoma,local_entropy_2,2662160529.0,0.0,0.0
43,Eczema,T-Cell Lymphoma,local_entropy_3,2563422609.5,0.0,0.0
44,Eczema,T-Cell Lymphoma,local_entropy_4,2487250669.5,0.0,0.0
45,Eczema,T-Cell Lymphoma,local_entropy_5,2430560247.5,0.0,0.0
46,Eczema,T-Cell Lymphoma,egophily_1,4008757348.5,0.0,0.0
47,Eczema,T-Cell Lymphoma,egophily_2,4005152778.5,0.0,0.0
48,Eczema,T-Cell Lymphoma,egophily_3,3972278157.0,0.0,0.0
49,Eczema,T-Cell Lymphoma,egophily_4,3965455085.0,0.0,0.0
50,Eczema,T-Cell Lymphoma,egophily_5,3961100722.5,0.0,0.0
0,Psoriasis,Eczema,global_homophily,55.0,0.01806662299891238,0.05419986899673714
1,Psoriasis,Eczema,global_entropy,154.0,0.08901797772326324,0.2670539331697897
2,Psoriasis,T-Cell Lymphoma,global_homophily,139.0,0.28084201086629845,0.8425260325988954
3,Psoriasis,T-Cell Lymphoma,global_entropy,99.0,0.5897385933186072,1.7692157799558217
4,Eczema,T-Cell Lymphoma,global_homophily,208.0,8.13402807598356e-05,0.0002440208422795068
5,Eczema,T-Cell Lymphoma,global_entropy,35.0,0.0014040790204992788,0.004212237061497837
6,Psoriasis,Eczema,local_homophily_1,3697356139.0,0.0,0.0
7,Psoriasis,Eczema,local_homophily_2,3505725483.5,0.0,0.0
8,Psoriasis,Eczema,local_homophily_3,3389436665.0,0.0,0.0
9,Psoriasis,Eczema,local_homophily_4,3306285371.5,0.0,0.0
10,Psoriasis,Eczema,local_homophily_5,3243752433.5,0.0,0.0
11,Psoriasis,Eczema,local_entropy_1,4694284489.5,0.0,0.0
12,Psoriasis,Eczema,local_entropy_2,4789475918.5,0.0,0.0
13,Psoriasis,Eczema,local_entropy_3,4868153750.0,0.0,0.0
14,Psoriasis,Eczema,local_entropy_4,4939509784.5,0.0,0.0
15,Psoriasis,Eczema,local_entropy_5,5013234177.5,0.0,0.0
16,Psoriasis,Eczema,egophily_1,3845603101.5,1.073342053495096e-202,3.2200261604852877e-202
17,Psoriasis,Eczema,egophily_2,3852223259.5,8.030815576430274e-194,2.409244672929082e-193
18,Psoriasis,Eczema,egophily_3,3879935549.0,5.24598202839053e-164,1.5737946085171593e-163
19,Psoriasis,Eczema,egophily_4,3875271791.0,7.695922775962329e-169,2.3087768327886984e-168
20,Psoriasis,Eczema,egophily_5,3868400447.5,4.2850345589452066e-176,1.285510367683562e-175
21,Psoriasis,T-Cell Lymphoma,local_homophily_1,6391342213.0,1.0951333491616412e-292,3.285400047484924e-292
22,Psoriasis,T-Cell Lymphoma,local_homophily_2,6717818750.5,0.0,0.0
23,Psoriasis,T-Cell Lymphoma,local_homophily_3,6956024231.5,0.0,0.0
24,Psoriasis,T-Cell Lymphoma,local_homophily_4,7110097849.5,0.0,0.0
25,Psoriasis,T-Cell Lymphoma,local_homophily_5,7219980292.5,0.0,0.0
26,Psoriasis,T-Cell Lymphoma,local_entropy_1,5295690597.5,0.0,0.0
27,Psoriasis,T-Cell Lymphoma,local_entropy_2,5027332859.0,0.0,0.0
28,Psoriasis,T-Cell Lymphoma,local_entropy_3,4933915604.5,0.0,0.0
29,Psoriasis,T-Cell Lymphoma,local_entropy_4,4890061095.5,0.0,0.0
30,Psoriasis,T-Cell Lymphoma,local_entropy_5,4884270241.0,0.0,0.0
31,Psoriasis,T-Cell Lymphoma,egophily_1,6190715938.5,5.442127640164104e-115,1.632638292049231e-114
32,Psoriasis,T-Cell Lymphoma,egophily_2,6229136833.0,1.3696340267286023e-141,4.1089020801858066e-141
33,Psoriasis,T-Cell Lymphoma,egophily_3,6229185205.5,1.352992755161199e-141,4.0589782654835974e-141
34,Psoriasis,T-Cell Lymphoma,egophily_4,6209096663.5,7.971181608666113e-127,2.391354482599834e-126
35,Psoriasis,T-Cell Lymphoma,egophily_5,6187908570.5,3.856622222185371e-112,1.1569866666556113e-111
36,Eczema,T-Cell Lymphoma,local_homophily_1,4327166588.5,0.0,0.0
37,Eczema,T-Cell Lymphoma,local_homophily_2,4658741459.5,0.0,0.0
38,Eczema,T-Cell Lymphoma,local_homophily_3,4873341367.5,0.0,0.0
39,Eczema,T-Cell Lymphoma,local_homophily_4,5023276919.5,0.0,0.0
40,Eczema,T-Cell Lymphoma,local_homophily_5,5137108403.0,0.0,0.0
41,Eczema,T-Cell Lymphoma,local_entropy_1,2729250336.5,0.0,0.0
42,Eczema,T-Cell Lymphoma,local_entropy_2,2497484934.5,0.0,0.0
43,Eczema,T-Cell Lymphoma,local_entropy_3,2380736641.5,0.0,0.0
44,Eczema,T-Cell Lymphoma,local_entropy_4,2293660593.0,0.0,0.0
45,Eczema,T-Cell Lymphoma,local_entropy_5,2221834958.0,0.0,0.0
46,Eczema,T-Cell Lymphoma,egophily_1,4077828048.5,0.0,0.0
47,Eczema,T-Cell Lymphoma,egophily_2,4075489029.5,0.0,0.0
48,Eczema,T-Cell Lymphoma,egophily_3,4047976186.0,0.0,0.0
49,Eczema,T-Cell Lymphoma,egophily_4,4043840979.5,0.0,0.0
50,Eczema,T-Cell Lymphoma,egophily_5,4037430822.0,0.0,0.0
0,Psoriasis,Eczema,global_homophily,75.0,0.12486035998214667,0.37458107994644
1,Psoriasis,Eczema,global_entropy,136.0,0.3400858902842717,1.020257670852815
2,Psoriasis,T-Cell Lymphoma,global_homophily,161.0,0.04648668639528603,0.1394600591858581
3,Psoriasis,T-Cell Lymphoma,global_entropy,91.0,0.38373262766250305,1.1511978829875091
4,Eczema,T-Cell Lymphoma,global_homophily,203.0,0.00018919298065443355,0.0005675789419633007
5,Eczema,T-Cell Lymphoma,global_entropy,53.0,0.014396852751179462,0.04319055825353839
6,Psoriasis,Eczema,local_homophily_1,3357682508.5,0.0,0.0
7,Psoriasis,Eczema,local_homophily_2,3165954689.5,0.0,0.0
8,Psoriasis,Eczema,local_homophily_3,3044261175.5,0.0,0.0
9,Psoriasis,Eczema,local_homophily_4,2951678502.5,0.0,0.0
10,Psoriasis,Eczema,local_homophily_5,2880156061.0,0.0,0.0
11,Psoriasis,Eczema,local_entropy_1,4308835362.5,0.0,0.0
12,Psoriasis,Eczema,local_entropy_2,4379745943.0,0.0,0.0
13,Psoriasis,Eczema,local_entropy_3,4423952606.0,0.0,0.0
14,Psoriasis,Eczema,local_entropy_4,4474291889.0,0.0,0.0
15,Psoriasis,Eczema,local_entropy_5,4536221428.0,0.0,0.0
16,Psoriasis,Eczema,egophily_1,3497106270.5,1.530040312395366e-218,4.590120937186098e-218
17,Psoriasis,Eczema,egophily_2,3518609947.0,6.094478343632131e-191,1.828343503089639e-190
18,Psoriasis,Eczema,egophily_3,3545092345.5,4.901256797871108e-161,1.4703770393613325e-160
19,Psoriasis,Eczema,egophily_4,3545606853.5,1.7691232535038936e-160,5.307369760511681e-160
20,Psoriasis,Eczema,egophily_5,3547662917.5,2.859372732726372e-158,8.578118198179116e-158
21,Psoriasis,T-Cell Lymphoma,local_homophily_1,6014452821.5,2.1938432939738466e-236,6.58152988192154e-236
22,Psoriasis,T-Cell Lymphoma,local_homophily_2,6287158252.0,0.0,0.0
23,Psoriasis,T-Cell Lymphoma,local_homophily_3,6479197636.5,0.0,0.0
24,Psoriasis,T-Cell Lymphoma,local_homophily_4,6610336333.5,0.0,0.0
25,Psoriasis,T-Cell Lymphoma,local_homophily_5,6712640801.0,0.0,0.0
26,Psoriasis,T-Cell Lymphoma,local_entropy_1,5063070597.0,2.6612768387197343e-269,7.983830516159202e-269
27,Psoriasis,T-Cell Lymphoma,local_entropy_2,4803903498.5,0.0,0.0
28,Psoriasis,T-Cell Lymphoma,local_entropy_3,4714418000.0,0.0,0.0
29,Psoriasis,T-Cell Lymphoma,local_entropy_4,4669688918.0,0.0,0.0
30,Psoriasis,T-Cell Lymphoma,local_entropy_5,4657977507.5,0.0,0.0
31,Psoriasis,T-Cell Lymphoma,egophily_1,5852457880.5,1.5793084399217926e-100,4.737925319765378e-100
32,Psoriasis,T-Cell Lymphoma,egophily_2,5883970166.0,1.6966479375040796e-121,5.089943812512239e-121
33,Psoriasis,T-Cell Lymphoma,egophily_3,5893213852.0,2.821102715470087e-128,8.463308146410261e-128
34,Psoriasis,T-Cell Lymphoma,egophily_4,5884005373.0,1.7135803902160182e-121,5.140741170648055e-121
35,Psoriasis,T-Cell Lymphoma,egophily_5,5864594612.5,8.259665863864903e-108,2.4778997591594707e-107
36,Eczema,T-Cell Lymphoma,local_homophily_1,3658889125.5,0.0,0.0
37,Eczema,T-Cell Lymphoma,local_homophily_2,3932666854.5,0.0,0.0
38,Eczema,T-Cell Lymphoma,local_homophily_3,4115333491.5,0.0,0.0
39,Eczema,T-Cell Lymphoma,local_homophily_4,4242815082.5,0.0,0.0
40,Eczema,T-Cell Lymphoma,local_homophily_5,4336368223.5,0.0,0.0
41,Eczema,T-Cell Lymphoma,local_entropy_1,2422520945.5,0.0,0.0
42,Eczema,T-Cell Lymphoma,local_entropy_2,2223531424.0,0.0,0.0
43,Eczema,T-Cell Lymphoma,local_entropy_3,2112376655.0,0.0,0.0
44,Eczema,T-Cell Lymphoma,local_entropy_4,2030437631.0,0.0,0.0
45,Eczema,T-Cell Lymphoma,local_entropy_5,1964051360.5,0.0,0.0
46,Eczema,T-Cell Lymphoma,egophily_1,3458246623.5,0.0,0.0
47,Eczema,T-Cell Lymphoma,egophily_2,3460637283.5,0.0,0.0
48,Eczema,T-Cell Lymphoma,egophily_3,3441046917.0,0.0,0.0
49,Eczema,T-Cell Lymphoma,egophily_4,3440024549.0,0.0,0.0
50,Eczema,T-Cell Lymphoma,egophily_5,3434493878.5,0.0,0.0
0,Psoriasis,Eczema,global_homophily,53.0,0.014396852751179462,0.04319055825353839
1,Psoriasis,Eczema,global_entropy,171.0,0.01614027989360373,0.04842083968081119
2,Psoriasis,T-Cell Lymphoma,global_homophily,179.0,0.006189824426537995,0.018569473279613984
3,Psoriasis,T-Cell Lymphoma,global_entropy,62.0,0.03808828420629213,0.1142648526188764
4,Eczema,T-Cell Lymphoma,global_homophily,196.0,0.0005759812107616887,0.0017279436322850663
5,Eczema,T-Cell Lymphoma,global_entropy,51.0,0.01140098291155517,0.03420294873466551
6,Psoriasis,Eczema,local_homophily_1,3660849733.5,0.0,0.0
7,Psoriasis,Eczema,local_homophily_2,3443099807.0,0.0,0.0
8,Psoriasis,Eczema,local_homophily_3,3306114226.0,0.0,0.0
9,Psoriasis,Eczema,local_homophily_4,3205367403.0,0.0,0.0
10,Psoriasis,Eczema,local_homophily_5,3131211037.0,0.0,0.0
11,Psoriasis,Eczema,local_entropy_1,4828819139.5,0.0,0.0
12,Psoriasis,Eczema,local_entropy_2,4926676913.0,0.0,0.0
13,Psoriasis,Eczema,local_entropy_3,5001908278.0,0.0,0.0
14,Psoriasis,Eczema,local_entropy_4,5074588944.0,0.0,0.0
15,Psoriasis,Eczema,local_entropy_5,5152893279.0,0.0,0.0
16,Psoriasis,Eczema,egophily_1,3831893956.5,2.7187707617245626e-275,8.156312285173688e-275
17,Psoriasis,Eczema,egophily_2,3841429422.5,5.412779910991528e-261,1.6238339732974585e-260
18,Psoriasis,Eczema,egophily_3,3879563011.0,2.916376426826099e-214,8.749129280478298e-214
19,Psoriasis,Eczema,egophily_4,3875174884.0,2.1487435171616537e-219,6.446230551484961e-219
20,Psoriasis,Eczema,egophily_5,3872389643.5,1.0989005047443921e-222,3.2967015142331766e-222
21,Psoriasis,T-Cell Lymphoma,local_homophily_1,6579862497.5,0.0,0.0
22,Psoriasis,T-Cell Lymphoma,local_homophily_2,6923505308.5,0.0,0.0
23,Psoriasis,T-Cell Lymphoma,local_homophily_3,7173674585.5,0.0,0.0
24,Psoriasis,T-Cell Lymphoma,local_homophily_4,7344860568.5,0.0,0.0
25,Psoriasis,T-Cell Lymphoma,local_homophily_5,7472416735.5,0.0,0.0
26,Psoriasis,T-Cell Lymphoma,local_entropy_1,5389302315.0,0.0,0.0
27,Psoriasis,T-Cell Lymphoma,local_entropy_2,5092570316.0,0.0,0.0
28,Psoriasis,T-Cell Lymphoma,local_entropy_3,4975330181.5,0.0,0.0
29,Psoriasis,T-Cell Lymphoma,local_entropy_4,4905335151.0,0.0,0.0
30,Psoriasis,T-Cell Lymphoma,local_entropy_5,4875597752.5,0.0,0.0
31,Psoriasis,T-Cell Lymphoma,egophily_1,6367998108.0,1.556751882431015e-135,4.6702556472930444e-135
32,Psoriasis,T-Cell Lymphoma,egophily_2,6408836981.0,1.1889142760743268e-165,3.5667428282229803e-165
33,Psoriasis,T-Cell Lymphoma,egophily_3,6409629789.5,2.97506136903179e-166,8.925184107095371e-166
34,Psoriasis,T-Cell Lymphoma,egophily_4,6398380516.5,2.6205246318300987e-157,7.861573895490297e-157
35,Psoriasis,T-Cell Lymphoma,egophily_5,6381668315.0,1.744759412417223e-144,5.234278237251669e-144
36,Eczema,T-Cell Lymphoma,local_homophily_1,3428848840.0,0.0,0.0
37,Eczema,T-Cell Lymphoma,local_homophily_2,3668313824.0,0.0,0.0
38,Eczema,T-Cell Lymphoma,local_homophily_3,3829396773.0,0.0,0.0
39,Eczema,T-Cell Lymphoma,local_homophily_4,3950805828.5,0.0,0.0
40,Eczema,T-Cell Lymphoma,local_homophily_5,4044302797.0,0.0,0.0
41,Eczema,T-Cell Lymphoma,local_entropy_1,2296970970.0,0.0,0.0
42,Eczema,T-Cell Lymphoma,local_entropy_2,2105220791.0,0.0,0.0
43,Eczema,T-Cell Lymphoma,local_entropy_3,1987316915.0,0.0,0.0
44,Eczema,T-Cell Lymphoma,local_entropy_4,1898841623.5,0.0,0.0
45,Eczema,T-Cell Lymphoma,local_entropy_5,1826080012.0,0.0,0.0
46,Eczema,T-Cell Lymphoma,egophily_1,3248759310.5,0.0,0.0
47,Eczema,T-Cell Lymphoma,egophily_2,3246054545.0,0.0,0.0
48,Eczema,T-Cell Lymphoma,egophily_3,3232293611.0,0.0,0.0
49,Eczema,T-Cell Lymphoma,egophily_4,3233290544.5,0.0,0.0
50,Eczema,T-Cell Lymphoma,egophily_5,3225768609.5,0.0,0.0
0,Psoriasis,Eczema,global_homophily,78.0,0.15846460599820356,0.47539381799461067
1,Psoriasis,Eczema,global_entropy,143.0,0.21337370709311831,0.6401211212793549
2,Psoriasis,T-Cell Lymphoma,global_homophily,147.0,0.15846460599820356,0.47539381799461067
3,Psoriasis,T-Cell Lymphoma,global_entropy,103.0,0.7089232340537643,2.126769702161293
4,Eczema,T-Cell Lymphoma,global_homophily,186.0,0.0024626042007544527,0.007387812602263358
5,Eczema,T-Cell Lymphoma,global_entropy,73.0,0.10573920209087935,0.31721760627263806
6,Psoriasis,Eczema,local_homophily_1,3730417015.5,0.0,0.0
7,Psoriasis,Eczema,local_homophily_2,3540189304.0,0.0,0.0
8,Psoriasis,Eczema,local_homophily_3,3419799333.5,0.0,0.0
