,condition_1,condition_2,score,statistic,p_value,p_value_adj
0,Psoriasis,Eczema,global_homophily,84.0,0.24548500120312422,0.7364550036093727
1,Psoriasis,Eczema,global_entropy,147.0,0.15846460599820356,0.47539381799461067
2,Psoriasis,T-Cell Lymphoma,global_homophily,165.0,0.03101661143801677,0.09304983431405031
3,Psoriasis,T-Cell Lymphoma,global_entropy,75.0,0.12486035998214667,0.37458107994644
4,Eczema,T-Cell Lymphoma,global_homophily,203.0,0.00018919298065443355,0.0005675789419633007
5,Eczema,T-Cell Lymphoma,global_entropy,59.0,0.02792505735330741,0.08377517205992223
6,Psoriasis,Eczema,local_homophily_1,3778875790.0,0.0,0.0
7,Psoriasis,Eczema,local_homophily_2,3594094842.5,0.0,0.0
8,Psoriasis,Eczema,local_homophily_3,3477897091.5,0.0,0.0
9,Psoriasis,Eczema,local_homophily_4,3389611358.0,0.0,0.0
10,Psoriasis,Eczema,local_homophily_5,3324410197.5,0.0,0.0
11,Psoriasis,Eczema,local_entropy_1,4738797552.0,0.0,0.0
12,Psoriasis,Eczema,local_entropy_2,4835423015.0,0.0,0.0
13,Psoriasis,Eczema,local_entropy_3,4916230636.5,0.0,0.0
14,Psoriasis,Eczema,local_entropy_4,4993839319.5,0.0,0.0
15,Psoriasis,Eczema,local_entropy_5,5074058327.0,0.0,0.0
16,Psoriasis,Eczema,egophily_1,3922801563.5,2.1812491883323267e-184,6.54374756499698e-184
17,Psoriasis,Eczema,egophily_2,3929340268.0,3.5771214725389305e-176,1.0731364417616791e-175
18,Psoriasis,Eczema,egophily_3,3952745667.5,2.6014219054423053e-152,7.804265716326915e-152
19,Psoriasis,Eczema,egophily_4,3948655107.5,2.3930686043355904e-156,7.179205813006771e-156
20,Psoriasis,Eczema,egophily_5,3945059664.0,6.101376587779303e-160,1.830412976333791e-159
21,Psoriasis,T-Cell Lymphoma,local_homophily_1,5922588042.0,0.0,0.0
22,Psoriasis,T-Cell Lymphoma,local_homophily_2,6258291357.5,0.0,0.0
23,Psoriasis,T-Cell Lymphoma,local_homophily_3,6500902424.5,0.0,0.0
24,Psoriasis,T-Cell Lymphoma,local_homophily_4,6659902060.0,0.0,0.0
25,Psoriasis,T-Cell Lymphoma,local_homophily_5,6772515980.5,0.0,0.0
26,Psoriasis,T-Cell Lymphoma,local_entropy_1,4751519335.5,0.0,0.0
27,Psoriasis,T-Cell Lymphoma,local_entropy_2,4434295988.5,0.0,0.0
28,Psoriasis,T-Cell Lymphoma,local_entropy_3,4299201783.5,0.0,0.0
29,Psoriasis,T-Cell Lymphoma,local_entropy_4,4232139336.0,0.0,0.0
30,Psoriasis,T-Cell Lymphoma,local_entropy_5,4203751173.0,0.0,0.0
31,Psoriasis,T-Cell Lymphoma,egophily_1,5708940387.0,2.4507446851836297e-149,7.352234055550889e-149
32,Psoriasis,T-Cell Lymphoma,egophily_2,5755769921.5,2.0499869610689503e-189,6.149960883206851e-189
33,Psoriasis,T-Cell Lymphoma,egophily_3,5763632978.5,8.350595241108556e-197,2.505178572332567e-196
34,Psoriasis,T-Cell Lymphoma,egophily_4,5753003967.0,8.642925013300634e-187,2.5928775039901903e-186
35,Psoriasis,T-Cell Lymphoma,egophily_5,5735511653.0,6.897799748322037e-171,2.0693399244966112e-170
36,Eczema,T-Cell Lymphoma,local_homophily_1,3586706465.0,0.0,0.0
37,Eczema,T-Cell Lymphoma,local_homophily_2,3824678993.5,0.0,0.0
38,Eczema,T-Cell Lymphoma,local_homophily_3,3970607514.0,0.0,0.0
39,Eczema,T-Cell Lymphoma,local_homophily_4,4066794645.0,0.0,0.0
40,Eczema,T-Cell Lymphoma,local_homophily_5,4137573328.0,0.0,0.0
41,Eczema,T-Cell Lymphoma,local_entropy_1,2393240118.5,0.0,0.0
42,Eczema,T-Cell Lymphoma,local_entropy_2,2259888928.5,0.0,0.0
43,Eczema,T-Cell Lymphoma,local_entropy_3,2186573878.5,0.0,0.0
44,Eczema,T-Cell Lymphoma,local_entropy_4,2135437008.0,0.0,0.0
45,Eczema,T-Cell Lymphoma,local_entropy_5,2092506948.5,0.0,0.0
46,Eczema,T-Cell Lymphoma,egophily_1,3399872249.5,0.0,0.0
47,Eczema,T-Cell Lymphoma,egophily_2,3383569649.5,0.0,0.0
48,Eczema,T-Cell Lymphoma,egophily_3,3356251340.0,0.0,0.0
49,Eczema,T-Cell Lymphoma,egophily_4,3353016759.5,0.0,0.0
50,Eczema,T-Cell Lymphoma,egophily_5,3348883342.5,0.0,0.0
0,Psoriasis,Eczema,global_homophily,45.0,0.005452139856940547,0.01635641957082164
1,Psoriasis,Eczema,global_entropy,167.0,0.02510289275359325,0.07530867826077975
2,Psoriasis,T-Cell Lymphoma,global_homophily,158.0,0.06196961991403871,0.18590885974211613
3,Psoriasis,T-Cell Lymphoma,global_entropy,94.0,0.4553018964198552,1.3659056892595656
4,Eczema,T-Cell Lymphoma,global_homophily,204.0,0.0001603262273507153,0.00048097868205214584
5,Eczema,T-Cell Lymphoma,global_entropy,61.0,0.03439744889250225,0.10319234667750675
6,Psoriasis,Eczema,local_homophily_1,3570058681.5,0.0,0.0
7,Psoriasis,Eczema,local_homophily_2,3362801406.5,0.0,0.0
8,Psoriasis,Eczema,local_homophily_3,3238865903.0,0.0,0.0
9,Psoriasis,Eczema,local_homophily_4,3151527844.0,0.0,0.0
10,Psoriasis,Eczema,local_homophily_5,3085083804.0,0.0,0.0
11,Psoriasis,Eczema,local_entropy_1,4743774371.5,0.0,0.0
12,Psoriasis,Eczema,local_entropy_2,4834907321.0,0.0,0.0
13,Psoriasis,Eczema,local_entropy_3,4918340284.5,0.0,0.0
14,Psoriasis,Eczema,local_entropy_4,4993264266.5,0.0,0.0
15,Psoriasis,Eczema,local_entropy_5,5069756189.5,0.0,0.0
16,Psoriasis,Eczema,egophily_1,3743196194.0,1.6259595863991496e-288,4.8778787591974485e-288
17,Psoriasis,Eczema,egophily_2,3758590342.5,6.907160982511526e-266,2.072148294753458e-265
18,Psoriasis,Eczema,egophily_3,3789877832.0,3.251780673366116e-226,9.755342020098348e-226
19,Psoriasis,Eczema,egophily_4,3784213574.5,3.807620975533464e-233,1.1422862926600392e-232
20,Psoriasis,Eczema,egophily_5,3776403466.0,7.013490854956259e-243,2.1040472564868777e-242
21,Psoriasis,T-Cell Lymphoma,local_homophily_1,6116301017.5,6.993499623398599e-243,2.0980498870195796e-242
22,Psoriasis,T-Cell Lymphoma,local_homophily_2,6406661994.0,0.0,0.0
23,Psoriasis,T-Cell Lymphoma,local_homophily_3,6609193258.0,0.0,0.0
24,Psoriasis,T-Cell Lymphoma,local_homophily_4,6743838600.0,0.0,0.0
25,Psoriasis,T-Cell Lymphoma,local_homophily_5,6848648343.5,0.0,0.0
26,Psoriasis,T-Cell Lymphoma,local_entropy_1,5138643746.0,2.5175879594400072e-281,7.552763878320021e-281
27,Psoriasis,T-Cell Lymphoma,local_entropy_2,4876580299.5,0.0,0.0
28,Psoriasis,T-Cell Lymphoma,local_entropy_3,4792608196.0,0.0,0.0
29,Psoriasis,T-Cell Lymphoma,local_entropy_4,4744739939.0,0.0,0.0
30,Psoriasis,T-Cell Lymphoma,local_entropy_5,4722646267.5,0.0,0.0
31,Psoriasis,T-Cell Lymphoma,egophily_1,5950994189.5,1.4444094941758043e-103,4.333228482527413e-103
32,Psoriasis,T-Cell Lymphoma,egophily_2,5986321017.0,2.034233932800887e-127,6.102701798402661e-127
33,Psoriasis,T-Cell Lymphoma,egophily_3,5989572361.5,8.48869563932071e-130,2.546608691796213e-129
34,Psoriasis,T-Cell Lymphoma,egophily_4,5982809116.0,8.212923868757198e-125,2.4638771606271593e-124
35,Psoriasis,T-Cell Lymphoma,egophily_5,5964818877.0,4.886070877876097e-112,1.4658212633628291e-111
36,Eczema,T-Cell Lymphoma,local_homophily_1,3845301957.5,0.0,0.0
37,Eczema,T-Cell Lymphoma,local_homophily_2,4145533977.0,0.0,0.0
38,Eczema,T-Cell Lymphoma,local_homophily_3,4347540739.5,0.0,0.0
39,Eczema,T-Cell Lymphoma,local_homophily_4,4494434981.5,0.0,0.0
40,Eczema,T-Cell Lymphoma,local_homophily_5,4607023399.0,0.0,0.0
41,Eczema,T-Cell Lymphoma,local_entropy_1,2497558441.0,0.0,0.0
42,Eczema,T-Cell Lymphoma,local_entropy_2,2298696969.5,0.0,0.0
43,Eczema,T-Cell Lymphoma,local_entropy_3,2202612120.0,0.0,0.0
44,Eczema,T-Cell Lymphoma,local_entropy_4,2129843760.5,0.0,0.0
45,Eczema,T-Cell Lymphoma,local_entropy_5,2064051707.0,0.0,0.0
46,Eczema,T-Cell Lymphoma,egophily_1,3625251498.0,0.0,0.0
47,Eczema,T-Cell Lymphoma,egophily_2,3613574390.5,0.0,0.0
48,Eczema,T-Cell Lymphoma,egophily_3,3587050793.0,0.0,0.0
49,Eczema,T-Cell Lymphoma,egophily_4,3576902352.0,0.0,0.0
50,Eczema,T-Cell Lymphoma,egophily_5,3565320817.5,0.0,0.0
0,Psoriasis,Eczema,global_homophily,82.0,0.21337370709311831,0.6401211212793549
1,Psoriasis,Eczema,global_entropy,142.0,0.22902896662469463,0.6870868998740839
2,Psoriasis,T-Cell Lymphoma,global_homophily,160.0,0.05123941919274439,0.15371825757823318
3,Psoriasis,T-Cell Lymphoma,global_entropy,96.0,0.506914933812496,1.520744801437488
4,Eczema,T-Cell Lymphoma,global_homophily,207.0,9.661535870152319e-05,0.00028984607610456955
5,Eczema,T-Cell Lymphoma,global_entropy,39.0,0.0024626042007544527,0.007387812602263358
6,Psoriasis,Eczema,local_homophily_1,3659241174.5,0.0,0.0
7,Psoriasis,Eczema,local_homophily_2,3474241797.0,0.0,0.0
8,Psoriasis,Eczema,local_homophily_3,3365417780.5,0.0,0.0
9,Psoriasis,Eczema,local_homophily_4,3289518189.5,0.0,0.0
10,Psoriasis,Eczema,local_homophily_5,3231481617.5,0.0,0.0
11,Psoriasis,Eczema,local_entropy_1,4671675633.0,0.0,0.0
12,Psoriasis,Eczema,local_entropy_2,4775538870.5,0.0,0.0
13,Psoriasis,Eczema,local_entropy_3,4859661597.5,0.0,0.0
14,Psoriasis,Eczema,local_entropy_4,4934048938.5,0.0,0.0
15,Psoriasis,Eczema,local_entropy_5,5007476911.5,0.0,0.0
16,Psoriasis,Eczema,egophily_1,3804806350.0,1.1878809347368044e-217,3.5636428042104135e-217
17,Psoriasis,Eczema,egophily_2,3811568270.5,3.1989982065455244e-208,9.596994619636573e-208
18,Psoriasis,Eczema,egophily_3,3831067303.5,5.29860101162914e-186,1.5895803034887418e-185
19,Psoriasis,Eczema,egophily_4,3826613717.5,5.909994872061572e-191,1.7729984616184714e-190
20,Psoriasis,Eczema,egophily_5,3819923553.0,1.6012355001681198e-198,4.8037065005043595e-198
21,Psoriasis,T-Cell Lymphoma,local_homophily_1,6077636885.0,6.351580418144164e-219,1.905474125443249e-218
22,Psoriasis,T-Cell Lymphoma,local_homophily_2,6340317299.5,0.0,0.0
23,Psoriasis,T-Cell Lymphoma,local_homophily_3,6517140263.5,0.0,0.0
24,Psoriasis,T-Cell Lymphoma,local_homophily_4,6632968549.0,0.0,0.0
25,Psoriasis,T-Cell Lymphoma,local_homophily_5,6721391040.0,0.0,0.0
26,Psoriasis,T-Cell Lymphoma,local_entropy_1,5147412731.5,5.852817166414275e-258,1.7558451499242825e-257
27,Psoriasis,T-Cell Lymphoma,local_entropy_2,4872861306.5,0.0,0.0
28,Psoriasis,T-Cell Lymphoma,local_entropy_3,4782778020.5,0.0,0.0
29,Psoriasis,T-Cell Lymphoma,local_entropy_4,4750850428.0,0.0,0.0
30,Psoriasis,T-Cell Lymphoma,local_entropy_5,4752162416.5,0.0,0.0
31,Psoriasis,T-Cell Lymphoma,egophily_1,5921028212.0,2.0052191801692475e-93,6.015657540507743e-93
32,Psoriasis,T-Cell Lymphoma,egophily_2,5959767866.5,1.2828781740657398e-118,3.8486345221972194e-118
33,Psoriasis,T-Cell Lymphoma,egophily_3,5974809240.0,1.5088576448686166e-129,4.52657293460585e-129
34,Psoriasis,T-Cell Lymphoma,egophily_4,5963998204.5,1.2751736144586542e-121,3.8255208433759625e-121
35,Psoriasis,T-Cell Lymphoma,egophily_5,5941553768.5,5.606276623352817e-106,1.681882987005845e-105
36,Eczema,T-Cell Lymphoma,local_homophily_1,4232661927.5,0.0,0.0
37,Eczema,T-Cell Lymphoma,local_homophily_2,4537377715.5,0.0,0.0
38,Eczema,T-Cell Lymphoma,local_homophily_3,4731656242.5,0.0,0.0
39,Eczema,T-Cell Lymphoma,local_homophily_4,4856313844.5,0.0,0.0
40,Eczema,T-Cell Lymphoma,local_homophily_5,4943751143.5,0.0,0.0
41,Eczema,T-Cell Lymphoma,local_entropy_1,2854669355.5,0.0,0.0
