,celltype_1,celltype_2,sq_ne_zscore,sq_ne_count,patient_id,condition
11,Basal keratinocytes,Fibroblasts,-1.978232799145294,46,PSO_03,Psoriasis
12,Basal keratinocytes,Langerhans cells,-4.28896767796095,144,PSO_03,Psoriasis
13,Basal keratinocytes,Macrophages,-0.19471136049613394,351,PSO_03,Psoriasis
14,Basal keratinocytes,Melanocytes,-1.368972078515588,129,PSO_03,Psoriasis
15,Basal keratinocytes,Smooth muscle cells,-1.9623591656777266,344,PSO_03,Psoriasis
16,Basal keratinocytes,Suprabasal keratinocytes,-3.8256094744692497,231,PSO_03,Psoriasis
17,Basal keratinocytes,T-cells,1.6961353624329047,339,PSO_03,Psoriasis
18,Basal keratinocytes,Unknown,-9.29392981938005,768,PSO_03,Psoriasis
19,Endothelial cells,Fibroblasts,0.0,0,PSO_03,Psoriasis
20,Endothelial cells,Langerhans cells,-1.06600375016042,4,PSO_03,Psoriasis
21,Endothelial cells,Macrophages,1.1673800814526412,16,PSO_03,Psoriasis
22,Endothelial cells,Melanocytes,-0.35371196727322335,4,PSO_03,Psoriasis
23,Endothelial cells,Smooth muscle cells,0.9148365826626204,16,PSO_03,Psoriasis
24,Endothelial cells,Suprabasal keratinocytes,1.7425238302148287,15,PSO_03,Psoriasis
25,Endothelial cells,T-cells,-1.221889925256354,7,PSO_03,Psoriasis
26,Endothelial cells,Unknown,1.038236269036935,40,PSO_03,Psoriasis
27,Fibroblasts,Langerhans cells,0.0,0,PSO_03,Psoriasis
28,Fibroblasts,Macrophages,1.914278428582241,51,PSO_03,Psoriasis
29,Fibroblasts,Melanocytes,-1.2584270066854129,11,PSO_03,Psoriasis
30,Fibroblasts,Smooth muscle cells,3.238240946380616,62,PSO_03,Psoriasis
31,Fibroblasts,Suprabasal keratinocytes,2.118514155315759,43,PSO_03,Psoriasis
32,Fibroblasts,T-cells,-2.292760519789943,22,PSO_03,Psoriasis
33,Fibroblasts,Unknown,1.7697750787646824,130,PSO_03,Psoriasis
34,Langerhans cells,Macrophages,0.0,0,PSO_03,Psoriasis
35,Langerhans cells,Melanocytes,0.16449661041183486,30,PSO_03,Psoriasis
36,Langerhans cells,Smooth muscle cells,0.1966814598034124,79,PSO_03,Psoriasis
37,Langerhans cells,Suprabasal keratinocytes,-0.9675940378579704,51,PSO_03,Psoriasis
38,Langerhans cells,T-cells,1.8762999281605095,79,PSO_03,Psoriasis
39,Langerhans cells,Unknown,-2.465465096172148,174,PSO_03,Psoriasis
40,Macrophages,Melanocytes,0.0,0,PSO_03,Psoriasis
41,Macrophages,Smooth muscle cells,0.21797942386385705,32,PSO_03,Psoriasis
42,Macrophages,Suprabasal keratinocytes,0.3406432832750932,25,PSO_03,Psoriasis
43,Macrophages,T-cells,-0.3843813243318428,24,PSO_03,Psoriasis
44,Macrophages,Unknown,1.6476974072539226,97,PSO_03,Psoriasis
45,Melanocytes,Smooth muscle cells,0.0,0,PSO_03,Psoriasis
46,Melanocytes,Suprabasal keratinocytes,0.0833695738396016,62,PSO_03,Psoriasis
47,Melanocytes,T-cells,-2.2025771413017647,51,PSO_03,Psoriasis
48,Melanocytes,Unknown,2.1319864351917945,246,PSO_03,Psoriasis
49,Smooth muscle cells,Suprabasal keratinocytes,0.0,0,PSO_03,Psoriasis
50,Smooth muscle cells,T-cells,-0.5594156957110213,48,PSO_03,Psoriasis
51,Smooth muscle cells,Unknown,0.9510921937015465,176,PSO_03,Psoriasis
52,Suprabasal keratinocytes,T-cells,0.0,0,PSO_03,Psoriasis
53,Suprabasal keratinocytes,Unknown,-1.8689126002886498,160,PSO_03,Psoriasis
54,T-cells,Unknown,0.0,0,PSO_03,Psoriasis
0,B-cells,Basal keratinocytes,0.0,0,Eczema_12,Eczema
1,B-cells,Endothelial cells,-0.38009168758385065,117,Eczema_12,Eczema
2,B-cells,Fibroblasts,-0.4953934045087351,1,Eczema_12,Eczema
3,B-cells,Langerhans cells,-0.787684844477915,1,Eczema_12,Eczema
4,B-cells,Macrophages,-1.046094304797053,3,Eczema_12,Eczema
5,B-cells,Melanocytes,0.5978235800608521,4,Eczema_12,Eczema
6,B-cells,Smooth muscle cells,1.7918285192661538,7,Eczema_12,Eczema
7,B-cells,Suprabasal keratinocytes,-0.34569093644715293,1,Eczema_12,Eczema
8,B-cells,T-cells,0.7659702547626658,20,Eczema_12,Eczema
9,B-cells,Unknown,1.19378760786524,22,Eczema_12,Eczema
10,Basal keratinocytes,Endothelial cells,0.0,0,Eczema_12,Eczema
11,Basal keratinocytes,Fibroblasts,0.024759519544097566,38,Eczema_12,Eczema
12,Basal keratinocytes,Langerhans cells,-0.423599416972823,47,Eczema_12,Eczema
13,Basal keratinocytes,Macrophages,-0.5732097797635386,120,Eczema_12,Eczema
14,Basal keratinocytes,Melanocytes,-2.471387986305311,56,Eczema_12,Eczema
15,Basal keratinocytes,Smooth muscle cells,-6.051846589915811,47,Eczema_12,Eczema
16,Basal keratinocytes,Suprabasal keratinocytes,-1.6174116386334318,27,Eczema_12,Eczema
17,Basal keratinocytes,T-cells,-3.264916487686419,348,Eczema_12,Eczema
18,Basal keratinocytes,Unknown,-4.957995391293257,337,Eczema_12,Eczema
19,Endothelial cells,Fibroblasts,0.0,0,Eczema_12,Eczema
20,Endothelial cells,Langerhans cells,1.7503861733510853,2,Eczema_12,Eczema
21,Endothelial cells,Macrophages,-1.2814546153274635,0,Eczema_12,Eczema
22,Endothelial cells,Melanocytes,0.09023279743905756,1,Eczema_12,Eczema
23,Endothelial cells,Smooth muscle cells,0.7877675331490025,2,Eczema_12,Eczema
24,Endothelial cells,Suprabasal keratinocytes,-0.6798905826278636,0,Eczema_12,Eczema
25,Endothelial cells,T-cells,1.7486584560624299,9,Eczema_12,Eczema
26,Endothelial cells,Unknown,-0.6694646314174271,4,Eczema_12,Eczema
27,Fibroblasts,Langerhans cells,0.0,0,Eczema_12,Eczema
28,Fibroblasts,Macrophages,-0.1352501083900492,2,Eczema_12,Eczema
29,Fibroblasts,Melanocytes,-0.21815282034151334,1,Eczema_12,Eczema
30,Fibroblasts,Smooth muscle cells,-0.38321574512715006,1,Eczema_12,Eczema
31,Fibroblasts,Suprabasal keratinocytes,-0.8044566052662621,0,Eczema_12,Eczema
32,Fibroblasts,T-cells,0.08245658943024098,7,Eczema_12,Eczema
33,Fibroblasts,Unknown,2.3421159425918345,13,Eczema_12,Eczema
34,Langerhans cells,Macrophages,0.0,0,Eczema_12,Eczema
35,Langerhans cells,Melanocytes,-0.0558765494410843,3,Eczema_12,Eczema
36,Langerhans cells,Smooth muscle cells,0.6914193405868261,5,Eczema_12,Eczema
37,Langerhans cells,Suprabasal keratinocytes,1.2646175062537848,3,Eczema_12,Eczema
38,Langerhans cells,T-cells,0.1418538587776396,18,Eczema_12,Eczema
39,Langerhans cells,Unknown,-1.0140666100044007,14,Eczema_12,Eczema
40,Macrophages,Melanocytes,0.0,0,Eczema_12,Eczema
41,Macrophages,Smooth muscle cells,3.9587408022725112,8,Eczema_12,Eczema
42,Macrophages,Suprabasal keratinocytes,0.14789732617496462,1,Eczema_12,Eczema
43,Macrophages,T-cells,0.34012896862920156,11,Eczema_12,Eczema
44,Macrophages,Unknown,1.720055504886835,16,Eczema_12,Eczema
45,Melanocytes,Smooth muscle cells,0.0,0,Eczema_12,Eczema
46,Melanocytes,Suprabasal keratinocytes,2.0253982690697248,3,Eczema_12,Eczema
47,Melanocytes,T-cells,-0.05402392487548009,12,Eczema_12,Eczema
48,Melanocytes,Unknown,0.12322280216174784,13,Eczema_12,Eczema
49,Smooth muscle cells,Suprabasal keratinocytes,0.0,0,Eczema_12,Eczema
50,Smooth muscle cells,T-cells,1.617389087828292,8,Eczema_12,Eczema
51,Smooth muscle cells,Unknown,0.5059104268622538,6,Eczema_12,Eczema
52,Suprabasal keratinocytes,T-cells,0.0,0,Eczema_12,Eczema
53,Suprabasal keratinocytes,Unknown,1.4689360188488392,68,Eczema_12,Eczema
54,T-cells,Unknown,0.0,0,Eczema_12,Eczema
0,B-cells,Basal keratinocytes,0.0,0,TCL_02,T-Cell Lymphoma
1,B-cells,Fibroblasts,-0.6399198778683001,2,TCL_02,T-Cell Lymphoma
2,B-cells,T-cells,-0.04898110586542373,1,TCL_02,T-Cell Lymphoma
3,B-cells,Unknown,-0.9821591226678466,0,TCL_02,T-Cell Lymphoma
4,Basal keratinocytes,Fibroblasts,0.0,0,TCL_02,T-Cell Lymphoma
5,Basal keratinocytes,T-cells,2.3244957935003994,8,TCL_02,T-Cell Lymphoma
6,Basal keratinocytes,Unknown,0.45770545472852303,3,TCL_02,T-Cell Lymphoma
7,Fibroblasts,T-cells,0.0,0,TCL_02,T-Cell Lymphoma
8,Fibroblasts,Unknown,-0.0712783413414097,1,TCL_02,T-Cell Lymphoma
9,T-cells,Unknown,0.0,0,TCL_02,T-Cell Lymphoma
0,B-cells,Basal keratinocytes,0.0,0,PSO_09,Psoriasis
1,B-cells,Endothelial cells,-3.2758469940866233,34,PSO_09,Psoriasis
2,B-cells,Fibroblasts,1.7142441344547605,12,PSO_09,Psoriasis
3,B-cells,Langerhans cells,1.8684587045549603,14,PSO_09,Psoriasis
4,B-cells,Macrophages,-0.04414140154942386,64,PSO_09,Psoriasis
5,B-cells,Melanocytes,-0.5972179393242264,8,PSO_09,Psoriasis
6,B-cells,Smooth muscle cells,2.192929446177364,32,PSO_09,Psoriasis
7,B-cells,Suprabasal keratinocytes,2.0880605992898196,12,PSO_09,Psoriasis
8,B-cells,T-cells,-2.6511726964337408,79,PSO_09,Psoriasis
9,B-cells,Unknown,1.525061539456046,49,PSO_09,Psoriasis
10,Basal keratinocytes,Endothelial cells,0.0,0,PSO_09,Psoriasis
11,Basal keratinocytes,Fibroblasts,-4.166193985230048,19,PSO_09,Psoriasis
12,Basal keratinocytes,Langerhans cells,-4.38948414773441,24,PSO_09,Psoriasis
13,Basal keratinocytes,Macrophages,-6.646170311792814,268,PSO_09,Psoriasis
14,Basal keratinocytes,Melanocytes,-3.273350824858096,35,PSO_09,Psoriasis
15,Basal keratinocytes,Smooth muscle cells,-5.518510899730892,76,PSO_09,Psoriasis
16,Basal keratinocytes,Suprabasal keratinocytes,-3.0375332471313086,22,PSO_09,Psoriasis
17,Basal keratinocytes,T-cells,7.168274744877459,743,PSO_09,Psoriasis
18,Basal keratinocytes,Unknown,-4.876166123241109,168,PSO_09,Psoriasis
19,Endothelial cells,Fibroblasts,0.0,0,PSO_09,Psoriasis
20,Endothelial cells,Langerhans cells,4.261509324473014,18,PSO_09,Psoriasis
21,Endothelial cells,Macrophages,1.2841470488837161,59,PSO_09,Psoriasis
22,Endothelial cells,Melanocytes,1.291177198334784,11,PSO_09,Psoriasis
23,Endothelial cells,Smooth muscle cells,0.41183664604290804,19,PSO_09,Psoriasis
24,Endothelial cells,Suprabasal keratinocytes,0.7595537909091364,7,PSO_09,Psoriasis
25,Endothelial cells,T-cells,-2.625166732088613,59,PSO_09,Psoriasis
26,Endothelial cells,Unknown,2.526803473517842,44,PSO_09,Psoriasis
27,Fibroblasts,Langerhans cells,0.0,0,PSO_09,Psoriasis
28,Fibroblasts,Macrophages,-0.733711136647874,54,PSO_09,Psoriasis
29,Fibroblasts,Melanocytes,-0.30749345189428723,8,PSO_09,Psoriasis
30,Fibroblasts,Smooth muscle cells,2.6605692163493004,32,PSO_09,Psoriasis
31,Fibroblasts,Suprabasal keratinocytes,0.2359889750179343,7,PSO_09,Psoriasis
32,Fibroblasts,T-cells,-2.7137826624557384,69,PSO_09,Psoriasis
33,Fibroblasts,Unknown,6.004576526329592,70,PSO_09,Psoriasis
34,Langerhans cells,Macrophages,0.0,0,PSO_09,Psoriasis
35,Langerhans cells,Melanocytes,-0.0032519422435863163,65,PSO_09,Psoriasis
36,Langerhans cells,Smooth muscle cells,-0.10580493670255345,147,PSO_09,Psoriasis
37,Langerhans cells,Suprabasal keratinocytes,0.6669263816732327,49,PSO_09,Psoriasis
38,Langerhans cells,T-cells,-1.085760032341278,651,PSO_09,Psoriasis
39,Langerhans cells,Unknown,1.3183611939402935,286,PSO_09,Psoriasis
40,Macrophages,Melanocytes,0.0,0,PSO_09,Psoriasis
41,Macrophages,Smooth muscle cells,1.0559102357335437,27,PSO_09,Psoriasis
42,Macrophages,Suprabasal keratinocytes,0.1566675956076007,7,PSO_09,Psoriasis
43,Macrophages,T-cells,0.11385907466463305,102,PSO_09,Psoriasis
44,Macrophages,Unknown,2.5707123642645757,55,PSO_09,Psoriasis
45,Melanocytes,Smooth muscle cells,0.0,0,PSO_09,Psoriasis
46,Melanocytes,Suprabasal keratinocytes,0.20724870451323527,16,PSO_09,Psoriasis
47,Melanocytes,T-cells,-1.1558123130487414,215,PSO_09,Psoriasis
48,Melanocytes,Unknown,2.457786633981938,113,PSO_09,Psoriasis
49,Smooth muscle cells,Suprabasal keratinocytes,0.0,0,PSO_09,Psoriasis
50,Smooth muscle cells,T-cells,-1.1561820924520703,62,PSO_09,Psoriasis
51,Smooth muscle cells,Unknown,-0.5269793604996955,25,PSO_09,Psoriasis
52,Suprabasal keratinocytes,T-cells,0.0,0,PSO_09,Psoriasis
53,Suprabasal keratinocytes,Unknown,-4.857261906600229,335,PSO_09,Psoriasis
54,T-cells,Unknown,0.0,0,PSO_09,Psoriasis
0,B-cells,Basal keratinocytes,0.0,0,Eczema_01,Eczema
1,B-cells,Endothelial cells,-2.0201191037093627,165,Eczema_01,Eczema
2,B-cells,Fibroblasts,0.35544711270708546,4,Eczema_01,Eczema
3,B-cells,Langerhans cells,0.9285951706506572,10,Eczema_01,Eczema
4,B-cells,Macrophages,1.7654043368593586,15,Eczema_01,Eczema
5,B-cells,Melanocytes,0.37432524741131423,11,Eczema_01,Eczema
6,B-cells,Smooth muscle cells,2.33506185997468,23,Eczema_01,Eczema
7,B-cells,Suprabasal keratinocytes,0.7873339874414724,6,Eczema_01,Eczema
8,B-cells,T-cells,0.6410903779697015,18,Eczema_01,Eczema
9,B-cells,Unknown,-0.549904279314359,22,Eczema_01,Eczema
10,Basal keratinocytes,Endothelial cells,0.0,0,Eczema_01,Eczema
11,Basal keratinocytes,Fibroblasts,-0.011473692243013117,52,Eczema_01,Eczema
12,Basal keratinocytes,Langerhans cells,-1.4907202861002211,99,Eczema_01,Eczema
13,Basal keratinocytes,Macrophages,-3.22631465943151,116,Eczema_01,Eczema
14,Basal keratinocytes,Melanocytes,-1.945213258485326,134,Eczema_01,Eczema
15,Basal keratinocytes,Smooth muscle cells,-1.755946978699868,202,Eczema_01,Eczema
16,Basal keratinocytes,Suprabasal keratinocytes,-1.8290671424606824,56,Eczema_01,Eczema
17,Basal keratinocytes,T-cells,-0.6409541868831568,225,Eczema_01,Eczema
18,Basal keratinocytes,Unknown,-1.251394335533575,358,Eczema_01,Eczema
19,Endothelial cells,Fibroblasts,0.0,0,Eczema_01,Eczema
20,Endothelial cells,Langerhans cells,-0.7140127904891359,1,Eczema_01,Eczema
21,Endothelial cells,Macrophages,2.0708697357219816,6,Eczema_01,Eczema
22,Endothelial cells,Melanocytes,1.3450578297489402,5,Eczema_01,Eczema
23,Endothelial cells,Smooth muscle cells,-1.5704139222555036,1,Eczema_01,Eczema
24,Endothelial cells,Suprabasal keratinocytes,2.515741460699684,4,Eczema_01,Eczema
25,Endothelial cells,T-cells,0.4240656082444247,5,Eczema_01,Eczema
26,Endothelial cells,Unknown,0.4121615990264378,8,Eczema_01,Eczema
27,Fibroblasts,Langerhans cells,0.0,0,Eczema_01,Eczema
28,Fibroblasts,Macrophages,0.5764665826191181,7,Eczema_01,Eczema
29,Fibroblasts,Melanocytes,0.8733030327425709,8,Eczema_01,Eczema
30,Fibroblasts,Smooth muscle cells,3.888154398424745,20,Eczema_01,Eczema
31,Fibroblasts,Suprabasal keratinocytes,0.23063658842831505,3,Eczema_01,Eczema
32,Fibroblasts,T-cells,-0.4536822352509993,8,Eczema_01,Eczema
33,Fibroblasts,Unknown,-0.30405237013664027,14,Eczema_01,Eczema
34,Langerhans cells,Macrophages,0.0,0,Eczema_01,Eczema
35,Langerhans cells,Melanocytes,0.0917237232971195,8,Eczema_01,Eczema
36,Langerhans cells,Smooth muscle cells,-0.4295268968490641,10,Eczema_01,Eczema
37,Langerhans cells,Suprabasal keratinocytes,-0.25492152666408785,3,Eczema_01,Eczema
38,Langerhans cells,T-cells,0.27795605204653906,13,Eczema_01,Eczema
39,Langerhans cells,Unknown,0.5737089407803683,22,Eczema_01,Eczema
40,Macrophages,Melanocytes,0.0,0,Eczema_01,Eczema
41,Macrophages,Smooth muscle cells,1.1711612899408987,16,Eczema_01,Eczema
42,Macrophages,Suprabasal keratinocytes,0.8576831244264479,5,Eczema_01,Eczema
43,Macrophages,T-cells,-0.2423498070458446,12,Eczema_01,Eczema
44,Macrophages,Unknown,1.2585350126169,26,Eczema_01,Eczema
45,Melanocytes,Smooth muscle cells,0.0,0,Eczema_01,Eczema
46,Melanocytes,Suprabasal keratinocytes,-1.0840318322352354,3,Eczema_01,Eczema
47,Melanocytes,T-cells,0.1839542885255103,19,Eczema_01,Eczema
48,Melanocytes,Unknown,-0.6057978027468758,27,Eczema_01,Eczema
49,Smooth muscle cells,Suprabasal keratinocytes,0.0,0,Eczema_01,Eczema
50,Smooth muscle cells,T-cells,-1.139163879529279,3,Eczema_01,Eczema
51,Smooth muscle cells,Unknown,-1.0646683541646453,6,Eczema_01,Eczema
52,Suprabasal keratinocytes,T-cells,0.0,0,Eczema_01,Eczema
53,Suprabasal keratinocytes,Unknown,-0.3295571980949331,30,Eczema_01,Eczema
54,T-cells,Unknown,0.0,0,Eczema_01,Eczema
