,celltype,value,category
0,Endothelial cells,0.10940919037199125,Psoriasis
1,Endothelial cells,0.3411196133709223,Psoriasis
2,Endothelial cells,0.15187296416938112,Psoriasis
3,Endothelial cells,0.2767689417658109,Psoriasis
4,Endothelial cells,0.0971709717097171,Psoriasis
5,Endothelial cells,0.2557682866961217,Psoriasis
6,Endothelial cells,0.147073290703394,Psoriasis
7,Endothelial cells,0.11079545454545454,Psoriasis
8,Endothelial cells,0.23271455474845304,Psoriasis
9,Endothelial cells,0.11079545454545454,Psoriasis
10,Endothelial cells,0.06371562709590879,Psoriasis
11,Endothelial cells,0.06221889055472264,Psoriasis
12,Endothelial cells,0.08373590982286634,Psoriasis
13,Endothelial cells,0.09410919540229885,Psoriasis
14,Endothelial cells,0.1601229088426084,Psoriasis
15,Endothelial cells,0.05272999252056844,Psoriasis
16,Endothelial cells,0.40627084723148765,Psoriasis
17,Endothelial cells,0.34747292418772563,Psoriasis
18,Endothelial cells,0.25343092406221407,Psoriasis
19,Endothelial cells,0.19908180300500836,Psoriasis
20,Endothelial cells,0.20206971677559912,Psoriasis
21,Endothelial cells,0.17142857142857143,Psoriasis
22,Endothelial cells,0.056074766355140186,Psoriasis
23,Endothelial cells,0.22640728476821192,Psoriasis
24,Endothelial cells,0.3145121347201585,Psoriasis
25,Endothelial cells,0.6322418136020151,Eczema
26,Endothelial cells,0.6185397867104184,Eczema
27,Endothelial cells,0.38118410381184104,Eczema
28,Endothelial cells,0.3863501483679525,Eczema
29,Endothelial cells,0.644891122278057,Eczema
30,Endothelial cells,0.39598811292719166,Eczema
31,Endothelial cells,0.26755852842809363,Eczema
32,Endothelial cells,0.7011033099297894,Eczema
33,Endothelial cells,0.49852724594992637,Eczema
34,Endothelial cells,0.1400617919670443,Eczema
35,Endothelial cells,0.0878099173553719,Eczema
36,Endothelial cells,0.4206896551724138,Eczema
37,Endothelial cells,0.22488408037094282,Eczema
38,Endothelial cells,0.3947606142728094,Eczema
39,Endothelial cells,0.21266968325791855,Eczema
40,Endothelial cells,0.3271461716937355,Eczema
41,Endothelial cells,0.07727272727272727,Eczema
42,Endothelial cells,0.30835443037974686,Eczema
43,Endothelial cells,0.35843981170141226,Eczema
44,Endothelial cells,0.2523649679584986,Eczema
45,Endothelial cells,0.40298507462686567,Eczema
46,Endothelial cells,0.27722772277227725,Eczema
47,Endothelial cells,0.25224887556221887,Eczema
48,T-cells,0.052954048140043765,Psoriasis
49,T-cells,0.06202174788562223,Psoriasis
50,T-cells,0.2671009771986971,Psoriasis
51,T-cells,0.20100187852222917,Psoriasis
52,T-cells,0.10209102091020911,Psoriasis
53,T-cells,0.19096710849288168,Psoriasis
54,T-cells,0.1396950319724545,Psoriasis
55,T-cells,0.10085227272727272,Psoriasis
56,T-cells,0.22329835889157923,Psoriasis
57,T-cells,0.08913352272727272,Psoriasis
58,T-cells,0.1914822266934943,Psoriasis
59,T-cells,0.15142428785607195,Psoriasis
60,T-cells,0.17149758454106281,Psoriasis
61,T-cells,0.09267241379310345,Psoriasis
62,T-cells,0.2680095595766473,Psoriasis
63,T-cells,0.17838444278234855,Psoriasis
64,T-cells,0.16611074049366245,Psoriasis
65,T-cells,0.1371841155234657,Psoriasis
66,T-cells,0.1948764867337603,Psoriasis
67,T-cells,0.22412353923205341,Psoriasis
68,T-cells,0.18681917211328977,Psoriasis
69,T-cells,0.19298245614035087,Psoriasis
70,T-cells,0.12838170191834727,Psoriasis
71,T-cells,0.16846026490066227,Psoriasis
72,T-cells,0.23179791976225855,Psoriasis
73,T-cells,0.08816120906801007,Eczema
74,T-cells,0.051681706316652996,Eczema
75,T-cells,0.1111111111111111,Eczema
76,T-cells,0.14124629080118695,Eczema
77,T-cells,0.05778894472361809,Eczema
78,T-cells,0.09286775631500743,Eczema
79,T-cells,0.20544672718585763,Eczema
80,T-cells,0.03911735205616851,Eczema
81,T-cells,0.06774668630338733,Eczema
82,T-cells,0.13594232749742532,Eczema
83,T-cells,0.1797520661157025,Eczema
84,T-cells,0.10443349753694581,Eczema
85,T-cells,0.13292117465224113,Eczema
86,T-cells,0.08943089430894309,Eczema
87,T-cells,0.1297134238310709,Eczema
88,T-cells,0.1513921113689095,Eczema
