,condition_1,condition_2,score,celltype_1,celltype_2,statistic,p_value,p_value_adj
0,Psoriasis,Eczema,sq_ne_zscore,Basal keratinocytes,Fibroblasts,492.0,0.0014247529134473246,0.5171853075813788
1,Psoriasis,Eczema,sq_ne_zscore,B-cells,Basal keratinocytes,287.5,1.0,363.0
2,Psoriasis,Eczema,sq_ne_zscore,Basal keratinocytes,Melanocytes,536.0,4.226773936705573e-08,1.534318939024123e-05
3,Psoriasis,Eczema,sq_ne_zscore,Basal keratinocytes,Langerhans cells,439.0,2.11150027647819e-06,0.0007664746003615831
4,Psoriasis,Eczema,sq_ne_zscore,Basal keratinocytes,T-cells,4652.0,7.295130466133517e-11,2.6481323592064672e-08
5,Psoriasis,Eczema,sq_ne_zscore,Basal keratinocytes,Endothelial cells,812.5,0.0005989307886488061,0.21741187627951664
6,Psoriasis,Eczema,sq_ne_zscore,Basal keratinocytes,Macrophages,534.0,8.481717438524127e-07,0.00030788634301842584
7,Psoriasis,Eczema,sq_ne_zscore,Basal keratinocytes,Unknown,529.0,2.093799162746387e-11,7.600490960769386e-09
8,Psoriasis,Eczema,sq_ne_zscore,Basal keratinocytes,Smooth muscle cells,585.0,1.1755666022679288e-08,4.267306766232581e-06
9,Psoriasis,Eczema,sq_ne_zscore,Basal keratinocytes,Suprabasal keratinocytes,568.0,1.0164927876040944e-09,3.6898688190028627e-07
10,Psoriasis,Eczema,sq_ne_zscore,B-cells,Fibroblasts,1331.0,5.474223428814342e-05,0.019871431046596062
11,Psoriasis,Eczema,sq_ne_zscore,Fibroblasts,Melanocytes,2483.0,0.000476864710888676,0.1731018900525894
12,Psoriasis,Eczema,sq_ne_zscore,Fibroblasts,Langerhans cells,1212.5,0.6691783187113243,242.91172969221068
13,Psoriasis,Eczema,sq_ne_zscore,Fibroblasts,T-cells,975.0,3.6215657240050207e-07,0.00013146283578138225
14,Psoriasis,Eczema,sq_ne_zscore,Endothelial cells,Fibroblasts,1062.5,0.06671978176269229,24.2192807798573
15,Psoriasis,Eczema,sq_ne_zscore,Fibroblasts,Macrophages,1372.0,0.7230116252433683,262.4532199633427
16,Psoriasis,Eczema,sq_ne_zscore,Fibroblasts,Unknown,4577.0,1.174421725338662e-06,0.0004263150862979343
17,Psoriasis,Eczema,sq_ne_zscore,Fibroblasts,Smooth muscle cells,2278.0,0.2895475910130708,105.1057755377447
18,Psoriasis,Eczema,sq_ne_zscore,Fibroblasts,Suprabasal keratinocytes,2666.0,0.19737169676944688,71.64592592730922
19,Psoriasis,Eczema,sq_ne_zscore,B-cells,Melanocytes,2228.0,0.0204807897561038,7.434526681465679
20,Psoriasis,Eczema,sq_ne_zscore,B-cells,Langerhans cells,1574.0,0.004701862887407251,1.7067762281288323
21,Psoriasis,Eczema,sq_ne_zscore,B-cells,T-cells,1482.0,0.00048731250994801963,0.17689444111113112
22,Psoriasis,Eczema,sq_ne_zscore,B-cells,Endothelial cells,307.0,0.0010514069206088573,0.3816607121810152
23,Psoriasis,Eczema,sq_ne_zscore,B-cells,Macrophages,1484.0,0.8019438953923635,291.105634027428
24,Psoriasis,Eczema,sq_ne_zscore,B-cells,Unknown,3781.0,0.009700345193656534,3.521225305297322
25,Psoriasis,Eczema,sq_ne_zscore,B-cells,Smooth muscle cells,2376.0,0.14683913313892596,53.30260532943013
26,Psoriasis,Eczema,sq_ne_zscore,B-cells,Suprabasal keratinocytes,2876.0,0.04238486196815536,15.385704894440394
27,Psoriasis,Eczema,sq_ne_zscore,Langerhans cells,Melanocytes,1841.0,0.5942682472427687,215.71937374912505
28,Psoriasis,Eczema,sq_ne_zscore,Melanocytes,T-cells,1132.0,4.3835393141754135e-06,0.0015912247710456752
29,Psoriasis,Eczema,sq_ne_zscore,Endothelial cells,Melanocytes,2103.0,0.08169262603537963,29.654423250842804
30,Psoriasis,Eczema,sq_ne_zscore,Macrophages,Melanocytes,1787.5,0.7723939332500706,280.3789977697756
31,Psoriasis,Eczema,sq_ne_zscore,Melanocytes,Unknown,3803.0,0.008068987045438285,2.9290422974940973
32,Psoriasis,Eczema,sq_ne_zscore,Melanocytes,Smooth muscle cells,1787.5,0.3658875912974888,132.81719564098844
33,Psoriasis,Eczema,sq_ne_zscore,Melanocytes,Suprabasal keratinocytes,2769.0,0.09846425886899755,35.742525969446106
34,Psoriasis,Eczema,sq_ne_zscore,Langerhans cells,T-cells,2685.0,0.7594870895666654,275.6938135126996
35,Psoriasis,Eczema,sq_ne_zscore,Endothelial cells,Langerhans cells,1533.0,0.01067648760221508,3.875564999604074
36,Psoriasis,Eczema,sq_ne_zscore,Langerhans cells,Macrophages,1387.5,0.7833823257698797,284.36778425446636
37,Psoriasis,Eczema,sq_ne_zscore,Langerhans cells,Unknown,2275.0,0.08683765996602849,31.522070567668344
38,Psoriasis,Eczema,sq_ne_zscore,Langerhans cells,Smooth muscle cells,2193.0,0.4718953610154829,171.2980160486203
39,Psoriasis,Eczema,sq_ne_zscore,Langerhans cells,Suprabasal keratinocytes,2548.0,0.3827155903541476,138.9257592985556
40,Psoriasis,Eczema,sq_ne_zscore,Endothelial cells,T-cells,1240.0,2.1239750767507612e-05,0.007710029528605262
41,Psoriasis,Eczema,sq_ne_zscore,Macrophages,T-cells,1199.0,1.1821803051626134e-05,0.0042913145077402865
42,Psoriasis,Eczema,sq_ne_zscore,T-cells,Unknown,2412.5,0.18566177781014193,67.39522534508153
43,Psoriasis,Eczema,sq_ne_zscore,Smooth muscle cells,T-cells,1597.0,0.0017800546480026957,0.6461598372249785
44,Psoriasis,Eczema,sq_ne_zscore,Suprabasal keratinocytes,T-cells,2862.5,0.3843972915064272,139.53621681683308
45,Psoriasis,Eczema,sq_ne_zscore,Endothelial cells,Macrophages,1416.0,0.9088332640057839,329.9064748340996
46,Psoriasis,Eczema,sq_ne_zscore,Endothelial cells,Unknown,3415.0,0.12333006380197042,44.76881316011526
47,Psoriasis,Eczema,sq_ne_zscore,Endothelial cells,Smooth muscle cells,2549.0,0.0321766550827416,11.680125795035199
48,Psoriasis,Eczema,sq_ne_zscore,Endothelial cells,Suprabasal keratinocytes,2533.0,0.41221587382493485,149.63436219845136
49,Psoriasis,Eczema,sq_ne_zscore,Macrophages,Unknown,4594.0,9.179384353133135e-07,0.00033321165201873277
50,Psoriasis,Eczema,sq_ne_zscore,Macrophages,Smooth muscle cells,2241.0,0.3621698685372857,131.4676622790347
