,variable,value,sample
254,20,3.6513259410858154,64
255,20,13.079941987991333,64
256,20,20.393145084381104,64
257,20,12.807806253433228,64
258,20,8.278157949447632,64
259,20,6.785778999328613,281
260,20,17.972416877746582,281
261,20,10.196593761444092,281
262,20,9.702239036560059,281
263,20,6.873080015182495,281
264,20,21.767797231674194,281
265,20,13.453477144241333,281
266,20,13.347350120544434,278
267,20,10.869355916976929,278
268,20,13.039517879486084,278
269,20,15.142102003097534,278
270,20,17.153699159622192,278
271,20,1.2853519916534424,278
272,20,6.682935953140259,278
273,20,16.225727081298828,297
274,20,22.50381898880005,297
275,20,14.351799249649048,297
276,40,11.390125036239624,297
277,40,19.17230796813965,297
278,40,4.519094944000244,297
279,40,0.025377988815307617,297
280,40,12.772717952728271,68
281,40,5.202888011932373,68
282,40,13.215698003768921,68
283,40,2.0091500282287598,68
284,40,7.062901020050049,68
285,40,4.430161237716675,68
286,40,52.384990215301514,68
287,40,21.068265914916992,87
288,40,9.566941976547241,87
289,40,5.523597955703735,87
290,40,18.358755111694336,87
291,40,10.876363039016724,87
292,40,4.319853782653809,87
293,40,29.023823976516724,87
294,40,9.393241167068481,274
295,40,18.174057960510254,274
296,40,8.851287841796875,274
297,40,9.090691089630127,274
298,40,10.44969892501831,274
299,40,14.246697187423706,274
300,40,11.421118021011353,274
301,40,3.8236141204833984,275
302,40,12.955272912979126,275
303,40,19.44300603866577,275
304,40,14.681331872940063,275
305,40,9.288134098052979,275
306,40,2.679043769836426,275
307,40,3.7963900566101074,275
308,40,23.761415004730225,69
309,40,3.137516975402832,69
310,40,12.030261039733887,69
311,40,20.492387056350708,69
312,40,14.29491400718689,69
313,40,15.177183866500854,69
314,40,14.05382513999939,69
315,40,28.810266733169556,86
316,40,3.4844918251037598,86
317,40,4.852376222610474,86
318,40,13.548750877380371,86
319,40,15.531475067138672,86
320,40,4.236012935638428,86
321,40,2.653512954711914,86
322,40,20.10849905014038,279
323,40,3.6337332725524902,279
324,40,15.033581018447876,279
325,40,26.285972833633423,279
326,40,16.0398108959198,279
327,40,8.8730309009552,279
328,40,6.764125347137451,279
329,40,22.051887035369873,296
330,40,11.254390001296997,296
331,40,10.235238075256348,296
332,40,6.806253910064697,296
333,40,28.61085605621338,296
334,40,14.252292156219482,296
335,40,14.986692905426025,296
336,40,12.086036920547485,280
337,40,13.623670101165771,280
338,40,15.584696054458618,280
339,40,18.889336109161377,280
340,40,1.26369309425354,280
341,40,6.534450054168701,280
342,40,18.934380054473877,280
343,40,25.461930990219116,306
344,40,14.552032947540283,306
345,80,12.263395071029663,306
346,80,18.78293490409851,306
347,80,4.6095099449157715,306
348,80,0.024443864822387695,306
349,80,13.857975006103516,306
350,80,5.211425065994263,310
351,80,14.074889898300171,310
352,80,1.978285789489746,310
353,80,6.831131219863892,310
354,80,3.6736817359924316,310
355,80,46.20028901100159,310
356,80,21.523530960083008,310
357,80,9.184707164764404,73
358,80,5.562486171722412,73
359,80,17.893143892288208,73
360,80,10.752150058746338,73
361,80,4.310155868530273,73
362,80,29.256873846054077,73
363,80,9.468299865722656,73
364,80,16.41196894645691,78
365,80,8.92056393623352,78
366,80,9.059729814529419,78
367,80,10.364773273468018,78
368,80,14.509320974349976,78
369,80,11.981874942779541,78
370,80,3.6477110385894775,78
371,80,12.987030982971191,81
372,80,18.678143978118896,81
373,80,14.450982093811035,81
374,80,10.08446216583252,81
375,80,2.6744089126586914,81
376,80,3.9156970977783203,81
377,80,21.93082070350647,81
378,80,3.022855043411255,264
379,80,11.990914821624756,264
380,80,20.223199129104614,264
381,80,14.800927877426147,264
382,80,15.48352575302124,264
383,80,14.107837915420532,264
384,80,26.665587902069092,264
385,80,3.491748094558716,272
386,80,4.921677112579346,272
387,80,13.565608978271484,272
388,80,15.614688873291016,272
389,80,4.640812873840332,272
390,80,2.685763120651245,272
391,80,18.220201015472412,272
392,80,3.696702003479004,74
393,80,15.106311082839966,74
394,80,25.25456690788269,74
395,80,16.154844999313354,74
396,80,8.678932905197144,74
397,80,6.4880287647247314,74
398,80,20.448092937469482,74
399,80,11.60971999168396,62
400,80,10.262189865112305,62
401,80,6.907907009124756,62
402,80,29.384066104888916,62
403,80,13.793919086456299,62
404,80,14.94164514541626,62
405,80,12.138924837112427,62
406,80,13.969504117965698,268
407,80,14.765758275985718,268
408,80,17.662982940673828,268
409,80,1.2526600360870361,268
410,80,6.449923038482666,268
411,80,21.28182291984558,268
412,80,25.298261880874634,268
413,80,14.528218746185303,287
414,100,12.754017114639282,287
415,100,17.21938991546631,287
416,100,4.281188011169434,287
417,100,0.025650978088378906,287
418,100,15.030752182006836,287
419,100,5.031915187835693,287
420,100,19.814117908477783,269
421,100,1.9804418087005615,269
422,100,6.684886932373047,269
423,100,4.074187994003296,269
424,100,37.149983167648315,269
425,100,25.543692111968994,269
426,100,9.620491027832031,269
427,100,5.499325275421143,286
428,100,16.614875316619873,286
429,100,11.059298992156982,286
430,100,4.3949949741363525,286
431,100,28.740676879882812,286
432,100,9.632469177246094,286
433,100,15.172587871551514,286
434,100,8.887571096420288,63
435,100,9.314471244812012,63
436,100,10.21746277809143,63
437,100,14.547485113143921,63
438,100,12.062902212142944,63
439,100,3.6823477745056152,63
440,100,12.995239973068237,63
441,100,18.30163884162903,300
442,100,14.637638807296753,300
443,100,10.310815811157227,300
444,100,2.677827835083008,300
445,100,4.062899112701416,300
446,100,21.88112497329712,300
447,100,3.0287740230560303,300
448,100,12.149512767791748,75
449,100,19.653908014297485,75
450,100,15.213947057723999,75
451,100,17.33972716331482,75
452,100,14.249946117401123,75
453,100,26.79934597015381,75
454,100,3.4888699054718018,75
455,100,4.8477818965911865,273
456,100,13.089139938354492,273
457,100,15.602660179138184,273
458,100,5.002238750457764,273
459,100,2.738129138946533,273
460,100,17.67699098587036,273
461,100,3.659345865249634,273
462,100,15.887067794799805,265
463,100,25.237238883972168,265
464,100,16.372363090515137,265
465,100,8.757865905761719,265
466,100,6.387847185134888,265
467,100,19.998159170150757,265
468,100,11.856364011764526,265
469,100,10.237627029418945,80
470,100,6.779973268508911,80
471,100,29.64170813560486,80
472,100,13.144790887832642,80
473,100,14.998286962509155,80
474,100,12.320510149002075,80
475,100,14.02747106552124,80
476,100,14.51409912109375,79
477,100,16.648826122283936,79
478,100,1.2650611400604248,79
479,100,6.490884065628052,79
480,100,21.88637399673462,79
481,100,25.21288013458252,79
482,100,14.946270942687988,79
