,variable,value,sample
0,1,4.930444002151489,270
1,1,8.392879962921143,270
2,1,3.590866804122925,270
3,1,0.029976844787597656,270
4,1,7.2992870807647705,270
5,1,3.6682491302490234,270
6,1,8.30411434173584,270
7,1,1.8413681983947754,266
8,1,5.176774024963379,266
9,1,2.6588470935821533,266
10,1,23.098966121673584,266
11,1,13.420697927474976,266
12,1,5.844315767288208,266
13,1,4.009542226791382,266
14,1,9.41060185432434,83
15,1,7.280152082443237,83
16,1,3.1385269165039062,83
17,1,14.028999328613281,83
18,1,6.294390916824341,83
19,1,8.702736139297485,83
20,1,5.59543514251709,83
21,1,5.874233245849609,293
22,1,5.9135050773620605,293
23,1,7.947383642196655,293
24,1,6.705797910690308,293
25,1,2.6917388439178467,293
26,1,7.757728815078735,293
27,1,9.29834794998169,293
28,1,9.184323787689209,285
29,1,5.650674104690552,285
30,1,2.1251800060272217,285
31,1,2.7727999687194824,285
32,1,16.174795866012573,285
33,1,2.2773520946502686,285
34,1,6.7954490184783936,285
35,1,10.4967679977417,60
36,1,7.739571809768677,60
37,1,9.10876202583313,60
38,1,7.915150880813599,60
39,1,13.086349964141846,60
40,1,2.5532920360565186,60
41,1,3.437206983566284,60
42,1,7.386681079864502,303
43,1,8.653324842453003,303
44,1,2.970768928527832,303
45,1,2.227259874343872,303
46,1,12.328297853469849,303
47,1,2.7240052223205566,303
48,1,8.513952732086182,303
49,1,13.807474136352539,315
50,1,8.30309510231018,315
51,1,5.583298683166504,315
52,1,4.597913026809692,315
53,1,10.046189069747925,315
54,1,6.674466133117676,315
55,1,6.387465953826904,315
56,1,4.573376893997192,76
57,1,11.86597204208374,76
58,1,9.340113878250122,76
59,1,9.064978837966919,76
60,1,6.406796932220459,76
61,1,8.547384262084961,76
62,1,9.44536805152893,76
63,1,10.93599009513855,314
64,1,1.153182029724121,314
65,1,4.959352731704712,314
66,1,9.19046401977539,314
67,1,14.631641149520874,314
68,1,9.944326877593994,314
69,5,5.563839912414551,314
70,5,8.818532228469849,302
71,5,3.5882930755615234,302
72,5,0.024682044982910156,302
73,5,7.459853172302246,302
74,5,4.204383850097656,302
75,5,8.220122337341309,302
76,5,1.7499358654022217,302
77,5,5.376532077789307,61
78,5,3.2747068405151367,61
79,5,26.814018964767456,61
80,5,12.703459739685059,61
81,5,6.352171897888184,61
82,5,4.1320459842681885,61
83,5,10.007869958877563,61
84,5,7.335548162460327,284
85,5,3.376716136932373,284
86,5,14.394952774047852,284
87,5,6.414137840270996,284
88,5,9.559055805206299,284
89,5,5.866955995559692,284
90,5,5.790826082229614,284
91,5,6.526222229003906,82
92,5,7.801894903182983,82
93,5,6.968477010726929,82
94,5,2.780200242996216,82
95,5,8.19297480583191,82
96,5,10.16458797454834,82
97,5,9.511230945587158,82
98,5,6.0134711265563965,267
99,5,2.2012763023376465,267
100,5,2.938019037246704,267
101,5,19.796300888061523,267
102,5,2.347795009613037,267
103,5,7.084596872329712,267
104,5,11.054998874664307,267
105,5,7.8833208084106445,271
106,5,9.34116506576538,271
107,5,8.114229917526245,271
108,5,14.409305095672607,271
109,5,2.6522419452667236,271
110,5,3.5090808868408203,271
111,5,8.130036115646362,271
112,5,8.839966058731079,295
113,5,3.103372097015381,295
114,5,2.231290102005005,295
115,5,12.755150079727173,295
116,5,2.835491180419922,295
117,5,8.70393180847168,295
118,5,14.18166708946228,295
119,5,8.438122987747192,305
120,5,5.820545196533203,305
121,5,4.7627692222595215,305
122,5,11.223196268081665,305
123,5,6.954752683639526,305
124,5,6.515071868896484,305
125,5,4.738299131393433,305
126,5,14.002177953720093,313
127,5,9.456886768341064,313
128,5,9.059378147125244,313
129,5,6.894641876220703,313
130,5,8.794954061508179,313
131,5,10.357227087020874,313
132,5,12.094316005706787,313
133,5,1.167342185974121,70
134,5,4.945315837860107,70
135,5,10.041270732879639,70
136,5,14.537500143051147,70
137,5,9.932649850845337,70
138,10,6.207856893539429,70
139,10,11.465512990951538,70
140,10,4.106640815734863,299
141,10,0.024590015411376953,299
142,10,8.239062070846558,299
143,10,4.328450918197632,299
144,10,8.838889122009277,299
145,10,2.0577518939971924,299
146,10,6.0281946659088135,299
147,10,3.8595571517944336,276
148,10,33.626118898391724,276
149,10,13.025294065475464,276
150,10,8.042798042297363,276
151,10,4.578005075454712,276
152,10,12.744166851043701,276
153,10,7.935049057006836,276
154,10,3.7236077785491943,85
155,10,15.809504985809326,85
156,10,6.976786851882935,85
157,10,11.05857515335083,85
158,10,6.508853912353516,85
159,10,6.576133728027344,85
160,10,7.395779609680176,85
161,10,8.561331987380981,309
162,10,7.488099813461304,309
163,10,3.1688382625579834,309
164,10,8.714025974273682,309
165,10,11.70955491065979,309
166,10,9.934211015701294,309
167,10,6.442000865936279,309
168,10,2.6458282470703125,308
169,10,3.3488669395446777,308
170,10,19.880290031433105,308
171,10,2.6470491886138916,308
172,10,7.787949085235596,308
173,10,11.826699018478394,308
174,10,8.715811252593994,308
175,10,10.161035776138306,84
176,10,9.002464056015015,84
177,10,16.994720935821533,84
178,10,2.992074966430664,84
179,10,3.897752046585083,84
180,10,8.738813877105713,84
181,10,10.08815884590149,84
182,10,3.7292020320892334,298
183,10,2.5088980197906494,298
184,10,13.842204332351685,298
185,10,3.167135000228882,298
186,10,9.591933965682983,298
187,10,15.271988153457642,298
188,10,9.375339984893799,298
189,10,6.4257988929748535,277
190,10,5.3582799434661865,277
191,10,12.882014989852905,277
192,10,7.914819717407227,277
193,10,7.469337701797485,277
194,10,5.456455945968628,277
195,10,15.698011875152588,277
196,10,10.204523086547852,71
197,10,10.016478776931763,71
198,10,7.825667858123779,71
199,10,9.757652759552002,71
200,10,11.62348198890686,71
201,10,12.75220775604248,71
202,10,1.2506701946258545,71
203,10,5.6014180183410645,312
204,10,11.706317663192749,312
205,10,16.21187686920166,312
206,10,10.876569032669067,312
207,20,9.292458057403564,312
208,20,16.80902409553528,312
209,20,4.797351837158203,312
210,20,0.025840044021606445,304
211,20,11.268315076828003,304
212,20,5.2374091148376465,304
213,20,11.915921211242676,304
214,20,1.9696109294891357,304
215,20,6.8734290599823,304
216,20,3.817186117172241,304
217,20,41.44487118721008,67
218,20,17.225802898406982,67
219,20,9.494251728057861,67
220,20,5.551235198974609,67
221,20,16.547436952590942,67
222,20,10.49676513671875,67
223,20,4.323936700820923,67
224,20,22.71943688392639,282
225,20,8.988962888717651,282
226,20,15.610537052154541,282
227,20,8.498860836029053,282
228,20,8.78444218635559,282
229,20,9.951143980026245,282
230,20,11.835631132125854,282
231,20,10.12436819076538,72
232,20,3.665813446044922,72
233,20,11.577139139175415,72
234,20,16.505769968032837,72
235,20,13.43272089958191,72
236,20,8.672475099563599,72
237,20,2.760262966156006,72
238,20,3.7050909996032715,311
239,20,22.421689748764038,311
240,20,3.015860080718994,311
241,20,10.780838966369629,311
242,20,15.773653984069824,311
243,20,11.9315767288208,311
244,20,13.292095184326172,311
245,20,12.48851203918457,307
246,20,23.22734308242798,307
247,20,3.487257957458496,307
248,20,4.889259099960327,307
249,20,11.643911123275757,307
250,20,13.086006164550781,307
251,20,4.177486181259155,307
252,20,2.6574079990386963,64
253,20,18.80944800376892,64
