,celltype,value,category
0,Endothelial cells,0.16988569176192353,T-Cell Lymphoma
1,Endothelial cells,0.04367816091954023,T-Cell Lymphoma
2,Endothelial cells,0.08402203856749312,T-Cell Lymphoma
3,Endothelial cells,0.13550646551724138,T-Cell Lymphoma
4,Endothelial cells,0.043355325164938736,T-Cell Lymphoma
5,Endothelial cells,0.09363295880149813,T-Cell Lymphoma
6,Endothelial cells,0.21648963075366717,T-Cell Lymphoma
7,Endothelial cells,0.13030454318522217,T-Cell Lymphoma
8,Endothelial cells,0.2921779141104294,T-Cell Lymphoma
9,Endothelial cells,0.30394328754984495,T-Cell Lymphoma
10,Endothelial cells,0.04628857381150959,T-Cell Lymphoma
11,Endothelial cells,0.174,T-Cell Lymphoma
12,Endothelial cells,0.23796791443850268,T-Cell Lymphoma
13,Endothelial cells,0.33060109289617484,T-Cell Lymphoma
14,Endothelial cells,0.14097689382860484,T-Cell Lymphoma
15,Endothelial cells,0.24068913098555866,T-Cell Lymphoma
16,Endothelial cells,0.07215447154471545,T-Cell Lymphoma
17,Endothelial cells,0.09544586855740388,T-Cell Lymphoma
18,Endothelial cells,0.2936874518860662,T-Cell Lymphoma
19,Endothelial cells,0.1936741767764298,T-Cell Lymphoma
20,Endothelial cells,0.10940919037199125,Psoriasis
21,Endothelial cells,0.3411196133709223,Psoriasis
22,Endothelial cells,0.15187296416938112,Psoriasis
23,Endothelial cells,0.2767689417658109,Psoriasis
24,Endothelial cells,0.0971709717097171,Psoriasis
25,Endothelial cells,0.2557682866961217,Psoriasis
26,Endothelial cells,0.147073290703394,Psoriasis
27,Endothelial cells,0.11079545454545454,Psoriasis
28,Endothelial cells,0.23271455474845304,Psoriasis
29,Endothelial cells,0.11079545454545454,Psoriasis
30,Endothelial cells,0.06371562709590879,Psoriasis
31,Endothelial cells,0.06221889055472264,Psoriasis
32,Endothelial cells,0.08373590982286634,Psoriasis
33,Endothelial cells,0.09410919540229885,Psoriasis
34,Endothelial cells,0.1601229088426084,Psoriasis
35,Endothelial cells,0.05272999252056844,Psoriasis
36,Endothelial cells,0.40627084723148765,Psoriasis
37,Endothelial cells,0.34747292418772563,Psoriasis
38,Endothelial cells,0.25343092406221407,Psoriasis
39,Endothelial cells,0.19908180300500836,Psoriasis
40,Endothelial cells,0.20206971677559912,Psoriasis
41,Endothelial cells,0.17142857142857143,Psoriasis
42,Endothelial cells,0.056074766355140186,Psoriasis
43,Endothelial cells,0.22640728476821192,Psoriasis
44,Endothelial cells,0.3145121347201585,Psoriasis
45,T-cells,0.2,T-Cell Lymphoma
46,T-cells,0.17855735120220734,T-Cell Lymphoma
47,T-cells,0.14022988505747128,T-Cell Lymphoma
48,T-cells,0.13360881542699724,T-Cell Lymphoma
49,T-cells,0.28448275862068967,T-Cell Lymphoma
50,T-cells,0.22054665409990576,T-Cell Lymphoma
51,T-cells,0.20385232744783308,T-Cell Lymphoma
52,T-cells,0.11684370257966616,T-Cell Lymphoma
53,T-cells,0.21517723414877685,T-Cell Lymphoma
54,T-cells,0.20743865030674846,T-Cell Lymphoma
55,T-cells,0.23969871510855117,T-Cell Lymphoma
56,T-cells,0.17264386989157632,T-Cell Lymphoma
57,T-cells,0.045,T-Cell Lymphoma
58,T-cells,0.17647058823529413,T-Cell Lymphoma
59,T-cells,0.09523809523809523,T-Cell Lymphoma
60,T-cells,0.33460076045627374,T-Cell Lymphoma
