,celltype,value,category
0,Endothelial cells,0.16988569176192353,T-Cell Lymphoma
1,Endothelial cells,0.04367816091954023,T-Cell Lymphoma
2,Endothelial cells,0.08402203856749312,T-Cell Lymphoma
3,Endothelial cells,0.13550646551724138,T-Cell Lymphoma
4,Endothelial cells,0.043355325164938736,T-Cell Lymphoma
5,Endothelial cells,0.09363295880149813,T-Cell Lymphoma
6,Endothelial cells,0.21648963075366717,T-Cell Lymphoma
7,Endothelial cells,0.13030454318522217,T-Cell Lymphoma
8,Endothelial cells,0.2921779141104294,T-Cell Lymphoma
9,Endothelial cells,0.30394328754984495,T-Cell Lymphoma
10,Endothelial cells,0.04628857381150959,T-Cell Lymphoma
11,Endothelial cells,0.174,T-Cell Lymphoma
12,Endothelial cells,0.23796791443850268,T-Cell Lymphoma
13,Endothelial cells,0.33060109289617484,T-Cell Lymphoma
14,Endothelial cells,0.14097689382860484,T-Cell Lymphoma
15,Endothelial cells,0.24068913098555866,T-Cell Lymphoma
16,Endothelial cells,0.07215447154471545,T-Cell Lymphoma
17,Endothelial cells,0.09544586855740388,T-Cell Lymphoma
18,Endothelial cells,0.2936874518860662,T-Cell Lymphoma
19,Endothelial cells,0.1936741767764298,T-Cell Lymphoma
20,Endothelial cells,0.6322418136020151,Eczema
21,Endothelial cells,0.6185397867104184,Eczema
22,Endothelial cells,0.38118410381184104,Eczema
23,Endothelial cells,0.3863501483679525,Eczema
24,Endothelial cells,0.644891122278057,Eczema
25,Endothelial cells,0.39598811292719166,Eczema
26,Endothelial cells,0.26755852842809363,Eczema
27,Endothelial cells,0.7011033099297894,Eczema
28,Endothelial cells,0.49852724594992637,Eczema
29,Endothelial cells,0.1400617919670443,Eczema
30,Endothelial cells,0.0878099173553719,Eczema
31,Endothelial cells,0.4206896551724138,Eczema
32,Endothelial cells,0.22488408037094282,Eczema
33,Endothelial cells,0.3947606142728094,Eczema
34,Endothelial cells,0.21266968325791855,Eczema
35,Endothelial cells,0.3271461716937355,Eczema
36,Endothelial cells,0.07727272727272727,Eczema
37,Endothelial cells,0.30835443037974686,Eczema
38,Endothelial cells,0.35843981170141226,Eczema
39,Endothelial cells,0.2523649679584986,Eczema
40,Endothelial cells,0.40298507462686567,Eczema
41,Endothelial cells,0.27722772277227725,Eczema
42,Endothelial cells,0.25224887556221887,Eczema
43,T-cells,0.2,T-Cell Lymphoma
44,T-cells,0.17855735120220734,T-Cell Lymphoma
45,T-cells,0.14022988505747128,T-Cell Lymphoma
46,T-cells,0.13360881542699724,T-Cell Lymphoma
47,T-cells,0.28448275862068967,T-Cell Lymphoma
48,T-cells,0.22054665409990576,T-Cell Lymphoma
49,T-cells,0.20385232744783308,T-Cell Lymphoma
50,T-cells,0.11684370257966616,T-Cell Lymphoma
51,T-cells,0.21517723414877685,T-Cell Lymphoma
52,T-cells,0.20743865030674846,T-Cell Lymphoma
53,T-cells,0.23969871510855117,T-Cell Lymphoma
54,T-cells,0.17264386989157632,T-Cell Lymphoma
55,T-cells,0.045,T-Cell Lymphoma
56,T-cells,0.17647058823529413,T-Cell Lymphoma
57,T-cells,0.09523809523809523,T-Cell Lymphoma
58,T-cells,0.33460076045627374,T-Cell Lymphoma
59,T-cells,0.14669369141119837,T-Cell Lymphoma
60,T-cells,0.24390243902439024,T-Cell Lymphoma
61,T-cells,0.2787019361876193,T-Cell Lymphoma
62,T-cells,0.14511162432640493,T-Cell Lymphoma
